dataset_name	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
cigs_mce	table_8_dataset	observed_direction_agreement_p05	mean_replicate_direction_agreement_p05	0.9636808402552532	0.958942774912994	0.967524248419011	0.004290736753008506	bca	ok	0.95	2000	2000	21426	5222	4065	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_8_dataset	centroid_baseline_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	21426	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_8_dataset	delta_vs_centroid_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	21426	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_8_dataset	individual_peer_mean_direction_agreement_p05	mean_peer_baseline_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	21426	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_8_dataset	individual_peer_sd_direction_agreement_p05	mean_peer_baseline_direction_agreement_sd_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	21426	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_8_dataset	individual_peer_fraction_below_observed_direction_agreement_p05	mean_peer_baseline_direction_agreement_fraction_below_observed_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	21426	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_8_dataset	individual_peer_corrected_percentile_direction_agreement_p05	mean_peer_baseline_direction_agreement_corrected_percentile_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	21426	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_8_dataset	delta_vs_individual_peer_direction_agreement_p05	mean_delta_vs_peer_baseline_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	21426	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_8_dataset	observed_direction_agreement_p05	mean_replicate_direction_agreement_p05	0.994767118085832	0.9907607111732992	0.9973351963447878	0.00328724258574431	bca	ok	0.95	2000	2000	7020	1687	898	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_8_dataset	centroid_baseline_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	7020	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_8_dataset	delta_vs_centroid_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	7020	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_8_dataset	individual_peer_mean_direction_agreement_p05	mean_peer_baseline_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	7020	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_8_dataset	individual_peer_sd_direction_agreement_p05	mean_peer_baseline_direction_agreement_sd_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	7020	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_8_dataset	individual_peer_fraction_below_observed_direction_agreement_p05	mean_peer_baseline_direction_agreement_fraction_below_observed_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	7020	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_8_dataset	individual_peer_corrected_percentile_direction_agreement_p05	mean_peer_baseline_direction_agreement_corrected_percentile_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	7020	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_8_dataset	delta_vs_individual_peer_direction_agreement_p05	mean_delta_vs_peer_baseline_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	7020	0	0	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	table_8_dataset	observed_direction_agreement_p05	mean_replicate_direction_agreement_p05	0.8676390720098681	0.8513165389168844	0.882075404963745	0.015379433023430311	bca	ok	0.95	2000	2000	2517	1830	265	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	table_8_dataset	centroid_baseline_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.648754276063105	0.6389213734347713	0.6583606136703597	0.009719620117794203	bca	ok	0.95	2000	2000	2517	2437	271	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	table_8_dataset	delta_vs_centroid_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.19161144072313657	0.17413392283096132	0.2083792130455004	0.017122645107269532	bca	ok	0.95	2000	2000	2517	1773	264	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	table_8_dataset	individual_peer_mean_direction_agreement_p05	mean_peer_baseline_direction_agreement_p05	0.5157624326686624	0.5086596731966593	0.5211907663636747	0.006265546583507697	bca	ok	0.95	2000	2000	2517	1773	264	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	table_8_dataset	individual_peer_sd_direction_agreement_p05	mean_peer_baseline_direction_agreement_sd_p05	0.12842342394235268	0.12506675113685223	0.13127933653445678	0.0031062926988022765	bca	ok	0.95	2000	2000	2517	1773	264	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	table_8_dataset	individual_peer_fraction_below_observed_direction_agreement_p05	mean_peer_baseline_direction_agreement_fraction_below_observed_p05	0.8852224415066698	0.8680327030597808	0.9017978810033483	0.016882588971783796	bca	ok	0.95	2000	2000	2517	1773	264	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	table_8_dataset	individual_peer_corrected_percentile_direction_agreement_p05	mean_peer_baseline_direction_agreement_corrected_percentile_p05	0.887177327606534	0.8703566837851349	0.9017300860011107	0.01568670110798792	bca	ok	0.95	2000	2000	2517	1773	264	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	table_8_dataset	delta_vs_individual_peer_direction_agreement_p05	mean_delta_vs_peer_baseline_direction_agreement_p05	0.35145883666333655	0.33513985562895154	0.36654815276775005	0.01570414856939925	bca	ok	0.95	2000	2000	2517	1773	264	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
