summary_level	metric	n_intervals	min_ci_half_width	median_ci_half_width	max_ci_half_width	min_n_compounds	max_n_compounds	ci_methods	ci_statuses
table_10_dataset	centroid_baseline_spearman_logfc	12	0.0006677768413833711	0.006849302919039575	0.023905061203118583	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_centroid_baseline_cosine	12	0.0008334902314612036	0.005330080656978448	0.027349759218654568	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_centroid_baseline_spearman_logfc	12	0.0007541992265574088	0.005333040801904006	0.025595825264330116	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_delta_vs_centroid_cosine	12	0.0017274722472156168	0.014484553941201468	0.03970397694915903	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_delta_vs_centroid_spearman_logfc	12	0.0016756324613814225	0.013989969412663828	0.03741368510741212	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_delta_vs_individual_peer_cosine	12	0.0011105022965978914	0.013690765040770693	0.02786642939837955	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_delta_vs_individual_peer_spearman_logfc	12	0.0010548326821030185	0.013053031752586392	0.02884310437820997	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_corrected_percentile_cosine	12	0.0018582880734910878	0.004501596506241767	0.04931980714083431	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_corrected_percentile_spearman_logfc	12	0.0017008707961096436	0.0043012217197994085	0.04955107706130579	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_fraction_below_observed_cosine	12	0.0019157236904924768	0.004645016312492145	0.049049867811727044	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_fraction_below_observed_spearman_logfc	12	0.0017726018672670207	0.004385047567428774	0.050193782762835315	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_mean_cosine	12	4.81896016475391e-05	0.001282309312386777	0.008840392571112694	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_mean_spearman_logfc	12	5.265572399892383e-05	0.001473996672539315	0.008614152743487237	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_sd_cosine	12	0.0002548681002738258	0.0015359228603608957	0.005052185036366209	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_sd_spearman_logfc	12	0.0002575955945841625	0.0015345657923866822	0.0049858251727789085	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_observed_replicate_cosine	12	0.001146426568966366	0.012998221761599316	0.026540560056625	86	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_observed_replicate_spearman_logfc	12	0.0010665240197582568	0.012764303684836293	0.02697510234657023	86	11126	bca	ok
table_10_dataset	dataset_normalized_centroid_baseline_cosine	12	0.0008274526925428904	0.004983376180622983	0.02398143018696028	86	11126	bca	ok
table_10_dataset	dataset_normalized_centroid_baseline_spearman_logfc	12	0.0007758044848670612	0.00503258413287988	0.023477140049812356	86	11126	bca	ok
table_10_dataset	dataset_normalized_delta_vs_centroid_cosine	12	0.0017053137831260987	0.012958898080477833	0.03478970983176734	86	11126	bca	ok
table_10_dataset	dataset_normalized_delta_vs_centroid_spearman_logfc	12	0.0016450155817893733	0.012688608541153914	0.0319969798082414	86	11126	bca	ok
table_10_dataset	dataset_normalized_delta_vs_individual_peer_cosine	12	0.0011240687661300264	0.01316346419015318	0.027961360348839684	86	11126	bca	ok
table_10_dataset	dataset_normalized_delta_vs_individual_peer_spearman_logfc	12	0.001016210117822887	0.012706586586544107	0.027615459852315033	86	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_corrected_percentile_cosine	12	0.0019174415062485628	0.004535531512637303	0.05105427415616695	86	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_corrected_percentile_spearman_logfc	12	0.001800275993180056	0.004419335873184133	0.05200596318207906	86	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_fraction_below_observed_cosine	12	0.0019077993010656602	0.004479067049374147	0.05255404987306567	86	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_fraction_below_observed_spearman_logfc	12	0.001767113242540308	0.00433530861663628	0.05037292739191074	86	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_mean_cosine	12	4.776108425499662e-05	0.0011439041941756914	0.009701263038588169	86	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_mean_spearman_logfc	12	4.911293049253483e-05	0.0013335095164685	0.010076174210995936	86	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_sd_cosine	12	0.0002462412319794473	0.001598546477567157	0.003511875693838401	86	11126	bca	ok
