dataset_name	observed_deg_lfc_spearman_sym_p05	centroid_baseline_deg_lfc_spearman_sym_p05	delta_vs_centroid_deg_lfc_spearman_sym_p05	individual_peer_mean_deg_lfc_spearman_sym_p05	delta_vs_individual_peer_deg_lfc_spearman_sym_p05	individual_peer_corrected_percentile_deg_lfc_spearman_sym_p05	dataset_normalized_observed_deg_lfc_spearman_sym_p05	dataset_normalized_centroid_baseline_deg_lfc_spearman_sym_p05	dataset_normalized_delta_vs_centroid_deg_lfc_spearman_sym_p05	dataset_normalized_individual_peer_mean_deg_lfc_spearman_sym_p05	dataset_normalized_delta_vs_individual_peer_deg_lfc_spearman_sym_p05	dataset_normalized_individual_peer_corrected_percentile_deg_lfc_spearman_sym_p05	dataset_cell_type_normalized_observed_deg_lfc_spearman_sym_p05	dataset_cell_type_normalized_centroid_baseline_deg_lfc_spearman_sym_p05	dataset_cell_type_normalized_delta_vs_centroid_deg_lfc_spearman_sym_p05	dataset_cell_type_normalized_individual_peer_mean_deg_lfc_spearman_sym_p05	dataset_cell_type_normalized_delta_vs_individual_peer_deg_lfc_spearman_sym_p05	dataset_cell_type_normalized_individual_peer_corrected_percentile_deg_lfc_spearman_sym_p05
cigs_mce	0.454 [0.444, 0.464]	0.431 [0.421, 0.439]	-0.007 [-0.018, 0.004]	0.064 [0.062, 0.066]	0.390 [0.380, 0.399]	0.790 [0.783, 0.796]	0.380 [0.370, 0.390]	0.178 [0.169, 0.186]	0.194 [0.181, 0.207]	-0.005 [-0.007, -0.004]	0.385 [0.376, 0.395]	0.778 [0.771, 0.785]	0.355 [0.344, 0.364]	0.071 [0.061, 0.080]	0.365 [0.350, 0.380]	-0.030 [-0.031, -0.029]	0.384 [0.373, 0.395]	0.775 [0.768, 0.782]
cigs_tcm	0.544 [0.521, 0.565]	0.286 [0.263, 0.308]	0.160 [0.135, 0.183]	0.073 [0.069, 0.077]	0.470 [0.448, 0.490]	0.818 [0.803, 0.831]	0.436 [0.412, 0.458]	0.126 [0.105, 0.148]	0.259 [0.232, 0.285]	0.020 [0.017, 0.024]	0.415 [0.391, 0.440]	0.777 [0.762, 0.791]	0.405 [0.382, 0.428]	0.068 [0.045, 0.088]	0.326 [0.295, 0.354]	0.001 [-0.002, 0.003]	0.404 [0.380, 0.428]	0.768 [0.752, 0.784]
dilimap_train_val	0.348 [0.323, 0.376]	0.374 [0.357, 0.390]	-0.028 [-0.056, 0.006]	0.025 [0.019, 0.032]	0.322 [0.299, 0.347]	0.809 [0.792, 0.825]	0.233 [0.206, 0.261]	0.067 [0.049, 0.083]	0.165 [0.138, 0.197]	-0.034 [-0.039, -0.030]	0.267 [0.241, 0.295]	0.748 [0.728, 0.768]	0.233 [0.205, 0.259]	0.067 [0.051, 0.084]	0.165 [0.136, 0.196]	-0.034 [-0.040, -0.030]	0.267 [0.242, 0.296]	0.748 [0.728, 0.768]
gdpx2	0.643 [0.606, 0.681]	0.371 [0.341, 0.396]	0.251 [0.222, 0.284]	0.092 [0.084, 0.100]	0.551 [0.516, 0.589]	0.930 [0.915, 0.943]	0.590 [0.549, 0.634]	0.229 [0.204, 0.252]	0.355 [0.310, 0.406]	0.027 [0.020, 0.032]	0.564 [0.523, 0.608]	0.909 [0.889, 0.926]	0.583 [0.543, 0.627]	0.063 [0.034, 0.090]	0.506 [0.456, 0.563]	-0.018 [-0.024, -0.011]	0.601 [0.555, 0.645]	0.905 [0.884, 0.924]
l1000_phase1	0.085 [0.058, 0.121]	0.256 [0.237, 0.275]	-0.175 [-0.196, -0.146]	-0.012 [-0.022, -0.001]	0.095 [0.074, 0.123]	0.596 [0.577, 0.620]	0.075 [0.049, 0.109]	0.205 [0.188, 0.222]	-0.135 [-0.156, -0.107]	-0.025 [-0.034, -0.015]	0.098 [0.075, 0.124]	0.597 [0.580, 0.621]	0.044 [0.018, 0.081]	0.137 [0.122, 0.155]	-0.097 [-0.118, -0.070]	-0.054 [-0.062, -0.043]	0.097 [0.076, 0.123]	0.594 [0.576, 0.617]
l1000_phase2	0.013 [-0.023, 0.050]	0.218 [0.202, 0.239]	-0.207 [-0.234, -0.180]	-0.091 [-0.102, -0.081]	0.104 [0.077, 0.136]	0.599 [0.576, 0.626]	0.017 [-0.017, 0.057]	0.146 [0.132, 0.163]	-0.133 [-0.160, -0.103]	-0.099 [-0.106, -0.091]	0.115 [0.086, 0.148]	0.602 [0.577, 0.628]	0.005 [-0.027, 0.042]	0.040 [0.025, 0.055]	-0.036 [-0.065, -0.003]	-0.119 [-0.125, -0.113]	0.124 [0.095, 0.157]	0.607 [0.585, 0.631]
novartis_batch_2500	0.266 [0.259, 0.273]	0.409 [0.404, 0.416]	-0.145 [-0.153, -0.137]	0.067 [0.066, 0.069]	0.199 [0.192, 0.205]	0.684 [0.679, 0.690]	0.241 [0.234, 0.249]	0.176 [0.169, 0.181]	0.066 [0.057, 0.076]	0.000 [-0.000, 0.001]	0.241 [0.234, 0.248]	0.708 [0.702, 0.713]	0.241 [0.234, 0.248]	0.176 [0.169, 0.182]	0.066 [0.057, 0.076]	0.000 [-0.000, 0.001]	0.241 [0.233, 0.248]	0.708 [0.702, 0.713]
op3	0.631 [0.577, 0.674]	0.391 [0.319, 0.454]	0.182 [0.119, 0.252]	0.138 [0.111, 0.160]	0.493 [0.447, 0.535]	0.870 [0.837, 0.898]	0.535 [0.483, 0.581]	0.198 [0.147, 0.250]	0.330 [0.262, 0.392]	0.019 [0.011, 0.028]	0.515 [0.468, 0.562]	0.860 [0.825, 0.890]	0.468 [0.408, 0.525]	-0.287 [-0.340, -0.220]	0.836 [0.738, 0.925]	-0.035 [-0.040, -0.029]	0.503 [0.445, 0.560]	0.840 [0.802, 0.876]
sciplex	0.355 [0.304, 0.403]	0.403 [0.371, 0.432]	-0.119 [-0.161, -0.079]	0.111 [0.103, 0.119]	0.244 [0.199, 0.291]	0.721 [0.685, 0.756]	0.277 [0.225, 0.327]	0.319 [0.292, 0.346]	-0.078 [-0.128, -0.023]	0.052 [0.046, 0.059]	0.225 [0.177, 0.277]	0.699 [0.661, 0.738]	0.257 [0.207, 0.303]	0.221 [0.192, 0.250]	0.016 [-0.039, 0.079]	0.018 [0.011, 0.024]	0.239 [0.191, 0.293]	0.703 [0.668, 0.744]
