dataset_name	observed_direction_agreement_p05	centroid_baseline_direction_agreement_p05	delta_vs_centroid_direction_agreement_p05	individual_peer_mean_direction_agreement_p05	delta_vs_individual_peer_direction_agreement_p05	individual_peer_corrected_percentile_direction_agreement_p05
cigs_mce	0.964 [0.959, 0.968]	0.790 [0.786, 0.794]	0.156 [0.151, 0.161]	0.561 [0.559, 0.562]	0.403 [0.398, 0.407]	0.917 [0.912, 0.923]
cigs_tcm	0.995 [0.991, 0.997]	0.690 [0.681, 0.700]	0.208 [0.198, 0.219]	0.564 [0.562, 0.567]	0.430 [0.426, 0.434]	0.910 [0.901, 0.918]
dilimap_train_val	0.997 [0.994, 0.998]	0.746 [0.734, 0.757]	0.267 [0.255, 0.279]	0.540 [0.536, 0.543]	0.457 [0.453, 0.461]	0.998 [0.996, 0.999]
gdpx2	0.996 [0.992, 0.998]	0.687 [0.670, 0.701]	0.295 [0.280, 0.312]	0.541 [0.536, 0.546]	0.455 [0.449, 0.460]	0.972 [0.964, 0.978]
l1000_phase1	0.868 [0.851, 0.882]	0.649 [0.639, 0.658]	0.192 [0.174, 0.208]	0.516 [0.509, 0.521]	0.352 [0.335, 0.367]	0.887 [0.871, 0.902]
l1000_phase2	0.932 [0.919, 0.943]	0.630 [0.621, 0.641]	0.283 [0.270, 0.296]	0.483 [0.478, 0.490]	0.449 [0.436, 0.460]	0.948 [0.935, 0.958]
novartis_batch_2500	0.984 [0.981, 0.986]	0.770 [0.767, 0.773]	0.207 [0.203, 0.212]	0.565 [0.564, 0.567]	0.419 [0.416, 0.421]	0.974 [0.972, 0.977]
op3	0.998 [0.994, 0.999]	0.731 [0.689, 0.768]	0.236 [0.197, 0.292]	0.582 [0.567, 0.596]	0.417 [0.403, 0.431]	0.965 [0.947, 0.977]
sciplex	0.996 [0.982, 0.999]	0.786 [0.774, 0.797]	0.193 [0.178, 0.212]	0.567 [0.561, 0.572]	0.429 [0.418, 0.435]	0.989 [0.977, 0.994]
tahoe	0.859 [0.793, 0.908]	0.850 [0.822, 0.874]	0.002 [-0.049, 0.042]	0.709 [0.688, 0.732]	0.150 [0.102, 0.193]	0.846 [0.771, 0.893]
vcpi_0001	0.996 [0.992, 0.998]	0.600 [0.593, 0.608]	0.307 [0.287, 0.329]	0.531 [0.528, 0.535]	0.465 [0.461, 0.469]	0.952 [0.940, 0.962]
vcpi_0002	1.000 [1.000, 1.000]	0.577 [0.566, 0.587]	0.214 [0.191, 0.241]	0.551 [0.546, 0.556]	0.449 [0.444, 0.454]	0.925 [0.909, 0.940]
