summary_level	metric	n_intervals	min_ci_half_width	median_ci_half_width	max_ci_half_width	min_n_compounds	max_n_compounds	ci_methods	ci_statuses
table_10_dataset	centroid_baseline_spearman_logfc	6	0.0020771321572073953	0.00939585487301036	0.023905061203118583	114	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_centroid_baseline_cosine	6	0.0010524649029812344	0.0071268212522375245	0.02734975921865454	114	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_delta_vs_centroid_cosine	6	0.0029074276268247143	0.014492971863305726	0.039703976949159045	114	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_delta_vs_individual_peer_cosine	6	0.002084690983790556	0.015490190462813318	0.026187514879334038	114	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_corrected_percentile_cosine	6	0.002404644736267947	0.01970530326590489	0.04931980714083431	114	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_fraction_below_observed_cosine	6	0.002467647966238773	0.02031462912029272	0.049049867811727044	114	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_mean_cosine	6	0.00011669803885615304	0.0020136880741309653	0.008840392571112701	114	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_individual_peer_sd_cosine	6	0.00029991568608685876	0.0022059836408990785	0.005052185036366209	114	11126	bca	ok
table_10_dataset	dataset_cell_type_normalized_observed_replicate_cosine	6	0.0019849178306521817	0.015275809171274208	0.023091758809975736	114	11126	bca	ok
table_10_dataset	dataset_normalized_centroid_baseline_cosine	6	0.001131351836797443	0.007731420775787964	0.02398143018696028	114	11126	bca	ok
table_10_dataset	dataset_normalized_delta_vs_centroid_cosine	6	0.0024112440191852488	0.012958898080477833	0.034789709831767365	114	11126	bca	ok
table_10_dataset	dataset_normalized_delta_vs_individual_peer_cosine	6	0.002116170516098803	0.014992957209045265	0.025960550506931065	114	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_corrected_percentile_cosine	6	0.002353943453078322	0.020471788229795118	0.05105427415616695	114	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_fraction_below_observed_cosine	6	0.002536298261875791	0.020751929971998095	0.05255404987306567	114	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_mean_cosine	6	9.695498687251709e-05	0.0021827145093352212	0.009701263038588183	114	11126	bca	ok
table_10_dataset	dataset_normalized_individual_peer_sd_cosine	6	0.00030269183011286983	0.002186276496087901	0.0035166305300679337	114	11126	bca	ok
table_10_dataset	dataset_normalized_observed_replicate_cosine	6	0.0019702262118102276	0.01601525455686076	0.024247851905225	114	11126	bca	ok
table_10_dataset	delta_vs_centroid_spearman_logfc	6	0.0019874134300091016	0.009915774258698818	0.029000190536322315	114	11126	bca	ok
table_10_dataset	delta_vs_individual_peer_spearman_logfc	6	0.0019420131874425678	0.014533931369004553	0.02377367018428645	114	11126	bca	ok
table_10_dataset	individual_peer_corrected_percentile_spearman_logfc	6	0.002713794164455552	0.020329557640692997	0.05397435335556308	114	11126	bca	ok
table_10_dataset	individual_peer_fraction_below_observed_spearman_logfc	6	0.0025659802013162647	0.020540862759042322	0.0545999500654025	114	11126	bca	ok
table_10_dataset	individual_peer_mean_spearman_logfc	6	0.0001800427911068875	0.0027680749344245106	0.011538445871739689	114	11126	bca	ok
table_10_dataset	individual_peer_sd_spearman_logfc	6	0.00024705549461304273	0.0018934743633917013	0.003817711741534502	114	11126	bca	ok
table_10_dataset	observed_replicate_spearman_logfc	6	0.0020364816293315727	0.015629953424581004	0.024870485745573892	114	11126	bca	ok
table_10_dataset	raw_centroid_baseline_cosine	6	0.0021962873946161365	0.00925452850078192	0.02349587339981521	114	11126	bca	ok
table_10_dataset	raw_delta_vs_centroid_cosine	6	0.0018780918467956546	0.010105327373672937	0.033354684658957134	114	11126	bca	ok
table_10_dataset	raw_delta_vs_individual_peer_cosine	6	0.001941328572045986	0.014880139021769705	0.025269047165963232	114	11126	bca	ok
table_10_dataset	raw_individual_peer_corrected_percentile_cosine	6	0.003099658461574728	0.02163525612348388	0.052658466345885516	114	11126	bca	ok
table_10_dataset	raw_individual_peer_fraction_below_observed_cosine	6	0.002909190256212668	0.022783658944243	0.054623137693602455	114	11126	bca	ok
table_10_dataset	raw_individual_peer_mean_cosine	6	0.00017971189947042906	0.002559933801030624	0.010582660055716918	114	11126	bca	ok
table_10_dataset	raw_individual_peer_sd_cosine	6	0.00024278978965603	0.0021331748133975315	0.0035114156795958487	114	11126	bca	ok
table_10_dataset	raw_observed_replicate_cosine	6	0.0020884602124211227	0.01618452684570493	0.02344269826869505	114	11126	bca	ok
