task_id	analysis	dataset_a	dataset_b	cell_type	time_key	left_dose_key	right_dose_key	query_obs_id	left_obs_id	right_obs_id	stage	reason	error
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate10_plate4_E3_alisertib_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate10_plate4_E3_alisertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate10_plate4_E3_alisertib_CVCL_0023', '24771867|0.1|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate11_plate5_B1_KW-2449_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate11_plate5_B1_KW-2449_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate11_plate5_B1_KW-2449_CVCL_0023', '11427553|10|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate15_plate9_C2_rigosertib_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate15_plate9_C2_rigosertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate15_plate9_C2_rigosertib_CVCL_0023', '6918736|10|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate33_plate3_E9_alisertib_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate33_plate3_E9_alisertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate33_plate3_E9_alisertib_CVCL_0023', '24771867|0.1|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate33_plate3_F2_rucaparib_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate33_plate3_F2_rucaparib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate33_plate3_F2_rucaparib_CVCL_0023', '9931954|1|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate33_plate3_G2_MLN8054_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate33_plate3_G2_MLN8054_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate33_plate3_G2_MLN8054_CVCL_0023', '11712649|1|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate34_plate4_A9_Danusertib_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate34_plate4_A9_Danusertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate34_plate4_A9_Danusertib_CVCL_0023', '11442891|10|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate36_plate6_B7_KW-2449_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate36_plate6_B7_KW-2449_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate36_plate6_B7_KW-2449_CVCL_0023', '11427553|10|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate40_plate10_C8_rigosertib_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate40_plate10_C8_rigosertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate40_plate10_C8_rigosertib_CVCL_0023', '6918736|10|24|CVCL_0023']. Available lookup keys: 2,742"""
23	retrieval	l1000_phase1	sciplex	CVCL_0023	24			plate9_plate3_A3_Danusertib_CVCL_0023			pool_resolution	right_pool_unresolved_source_row	"""Could not resolve obs_id='plate9_plate3_A3_Danusertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate9_plate3_A3_Danusertib_CVCL_0023', '11442891|10|24|CVCL_0023']. Available lookup keys: 2,742"""
