dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope	cell_type
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.4388250392193383	0.4030054297916006	0.468949934892915	0.0329722525506571	bca	ok	0.95	2000	2000	1894	966	695	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7362696100178618	0.7192689202156988	0.7522674780957052	0.0164992789400031	bca	ok	0.95	2000	2000	1894	1279	840	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.1422433946352747	-0.202174432879052	-0.0817294251610739	0.060222503858989	bca	ok	0.95	2000	2000	1894	295	226	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.1599361527091472	0.120766889376294	0.19562953500704	0.037431322815373	bca	ok	0.95	2000	2000	1894	220	157	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.3514187127905135	0.2950254209741814	0.3996423300737923	0.0523084545498054	bca	ok	0.95	2000	2000	1894	295	226	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9199316982974164	0.8839096940066625	0.9451753949593864	0.0306328504763618	bca	ok	0.95	2000	2000	1894	220	157	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.502383948447044	0.4599998076062594	0.5391326419888685	0.0395664171913044	bca	ok	0.95	2000	2000	942	538	538	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7838740557342366	0.763151369961034	0.8030840422583518	0.0199663361486588	bca	ok	0.95	2000	2000	942	687	687	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.1909387685370609	-0.2627549059216884	-0.124037324381188	0.0693587907702502	bca	ok	0.95	2000	2000	942	172	172	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.1375759448001249	0.085812378906255	0.1741266549265416	0.0441571380101433	bca	ok	0.95	2000	2000	942	119	119	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.3356179782382066	0.2686315186380949	0.3972005069431	0.0642844941525025	bca	ok	0.95	2000	2000	942	172	172	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9195849309100904	0.8703861440841522	0.9526380425085506	0.0411259492121992	bca	ok	0.95	2000	2000	942	119	119	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
