dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	n_matched_sample_pairs	n_matching_conditions	n_matching_drugs	n_eligible_contexts	n_scored_sample_pairs	n_scored_drug_line_times	mean_observed_deg_lfc_spearman_sym_p05	mean_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_observed_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	15863	1895	968	2	15854	1894	0.3514187127905135	0.4388250392193383	-0.1422433946352747	0.9199316982974164	0.7362696100178618	0.1599361527091472
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	1395	126	123	2	1395	126	0.3775031377346485	0.5581053333287542	-0.1903834324632257	0.8779788014138687	0.8190433096721791	0.055180913274835
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	29250	972	237	16	29250	972	0.4776997132741828	0.5170735926530413	-0.0525875642420858	0.928944966035236	0.7524343339340409	0.1518187143769973
exact	0	1.0	0.0	False	l1000_phase1	sciplex	1918	163	90	2	1888	158	0.428450503644826	0.494428634208964	-0.1743885803726945	0.8990159313844172	0.7294034836157993	0.1300893339765514
exact	0	1.0	0.0	False	l1000_phase1	tahoe	0	0	0	0	0	0						
exact	0	1.0	0.0	False	l1000_phase2	cigs_mce	499	67	67	1	499	67	0.4821758481453532	0.6438415837475928	-0.1546239092955756	0.9279959974619908	0.8363607376156039	0.1021084486318589
exact	0	1.0	0.0	False	l1000_phase2	sciplex	1147	127	83	2	1118	124	0.5377525125611938	0.533316920583914	-0.1151847451741203	0.9494054646551108	0.7117099373219525	0.1835992492752946
exact	0	1.0	0.0	False	l1000_phase2	tahoe	0	0	0	0	0	0						
exact	0	1.0	0.0	False	tahoe	sciplex	0	0	0	0	0	0						
2x	1	2.0	0.3010299956639812	False	cigs_mce	cigs_tcm	15973	1911	974	2	15964	1910	0.3649528955317225	0.4408347049805479	-0.1288934858116957	0.9233007712062546	0.7361058587592503	0.1644311331484688
2x	1	2.0	0.3010299956639812	False	l1000_phase1	cigs_mce	1395	126	123	2	1395	126	0.3775031377346485	0.5581053333287542	-0.1903834324632257	0.8779788014138687	0.8190433096721791	0.055180913274835
2x	1	2.0	0.3010299956639812	False	l1000_phase1	l1000_phase2	49733	2791	246	16	49733	1016	0.3733112783328751	0.458761209325534	-0.0948925079804854	0.9198336383204192	0.725162782476999	0.1576817202617046
2x	1	2.0	0.3010299956639812	False	l1000_phase1	sciplex	2689	290	90	2	2647	161	0.3951377211321035	0.4763361865227276	-0.1883455474388336	0.8881999170482607	0.7236901149332148	0.1293529090156763
2x	1	2.0	0.3010299956639812	False	l1000_phase1	tahoe	600	149	86	3	600	111	0.1741539204676684	0.3612419891123853	-0.2499971928932845	0.735567815403538	0.7293357409685798	-0.0175955263359505
2x	1	2.0	0.3010299956639812	False	l1000_phase2	cigs_mce	499	67	67	1	499	67	0.4821758481453532	0.6438415837475928	-0.1546239092955756	0.9279959974619908	0.8363607376156039	0.1021084486318589
2x	1	2.0	0.3010299956639812	False	l1000_phase2	sciplex	3192	381	83	2	3133	127	0.4908367116474503	0.394572338593934	-0.1070448527780141	0.9492136233388188	0.6826053698142059	0.1862437705761171
2x	1	2.0	0.3010299956639812	False	l1000_phase2	tahoe	1471	401	110	2	1471	134	0.084246440273027	0.3016139836914525	-0.3053516997408659	0.6748082536247473	0.6862125906499085	-0.0930753717118342
2x	1	2.0	0.3010299956639812	False	tahoe	sciplex	170	69	23	1	170	23	0.123839188230352	0.5993371814454159	-0.4654886387887489	0.8957179320303897	0.8316508665979963	0.0832148850324314
3x	2	3.0	0.4771212547196624	False	cigs_mce	cigs_tcm	15973	1911	974	2	15964	1910	0.3649528955317225	0.4408347049805479	-0.1288934858116957	0.9233007712062546	0.7361058587592503	0.1644311331484688
3x	2	3.0	0.4771212547196624	False	l1000_phase1	cigs_mce	1395	126	123	2	1395	126	0.3775031377346485	0.5581053333287542	-0.1903834324632257	0.8779788014138687	0.8190433096721791	0.055180913274835
3x	2	3.0	0.4771212547196624	False	l1000_phase1	l1000_phase2	49768	2795	248	16	49768	1019	0.3717583345231467	0.4577594898946657	-0.0953517438178836	0.9189525689956696	0.7251095975240516	0.1567395065058898
3x	2	3.0	0.4771212547196624	False	l1000_phase1	sciplex	2689	290	90	2	2647	161	0.3951377211321035	0.4763361865227276	-0.1883455474388336	0.8881999170482607	0.7236901149332148	0.1293529090156763
3x	2	3.0	0.4771212547196624	False	l1000_phase1	tahoe	600	149	86	3	600	111	0.1741539204676684	0.3612419891123853	-0.2499971928932845	0.735567815403538	0.7293357409685798	-0.0175955263359505
3x	2	3.0	0.4771212547196624	False	l1000_phase2	cigs_mce	499	67	67	1	499	67	0.4821758481453532	0.6438415837475928	-0.1546239092955756	0.9279959974619908	0.8363607376156039	0.1021084486318589
3x	2	3.0	0.4771212547196624	False	l1000_phase2	sciplex	3192	381	83	2	3133	127	0.4908367116474503	0.394572338593934	-0.1070448527780141	0.9492136233388188	0.6826053698142059	0.1862437705761171
3x	2	3.0	0.4771212547196624	False	l1000_phase2	tahoe	1473	402	110	2	1473	134	0.084246440273027	0.3018060073073424	-0.3053516997408659	0.6748082536247473	0.6857835363247601	-0.0930753717118342
3x	2	3.0	0.4771212547196624	False	tahoe	sciplex	170	69	23	1	170	23	0.123839188230352	0.5993371814454159	-0.4654886387887489	0.8957179320303897	0.8316508665979963	0.0832148850324314
10x_reference	3	10.0	1.0	True	cigs_mce	cigs_tcm	15973	1911	974	2	15964	1910	0.3649528955317225	0.4408347049805479	-0.1288934858116957	0.9233007712062546	0.7361058587592503	0.1644311331484688
10x_reference	3	10.0	1.0	True	l1000_phase1	cigs_mce	1401	127	124	2	1401	127	0.3731904684732765	0.5569056515144399	-0.192704429572322	0.8726738576891024	0.8178820348267476	0.0525623815373479
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	50695	2836	257	17	50695	1060	0.3715759013036289	0.4558129229163247	-0.0943309447417761	0.9174928909719516	0.7244357240285955	0.1561501832447502
10x_reference	3	10.0	1.0	True	l1000_phase1	sciplex	2695	291	90	2	2653	162	0.3951377211321035	0.4750175049533004	-0.1883455474388336	0.8898938576990447	0.7241214080016491	0.1305666446284609
10x_reference	3	10.0	1.0	True	l1000_phase1	tahoe	610	152	86	3	610	114	0.1741539204676684	0.3624785404785942	-0.2499971928932845	0.735567815403538	0.7306995970616412	-0.0175955263359505
10x_reference	3	10.0	1.0	True	l1000_phase2	cigs_mce	508	68	68	1	508	68	0.4786876941429446	0.6475271932557559	-0.1625678117778715	0.9194360775127508	0.8361616986353233	0.0936097579200914
10x_reference	3	10.0	1.0	True	l1000_phase2	sciplex	3192	381	83	2	3133	127	0.4908367116474503	0.394572338593934	-0.1070448527780141	0.9492136233388188	0.6826053698142059	0.1862437705761171
