dataset_a	dataset_b	representation	retrieval_variant	similarity_metric	scale_variant	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	observed_normalized_best_positive_rank	observed_normalized_best_positive_rank	0.775294631360553	0.7389662248414602	0.8205296055527549	0.0407816903556473	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	observed_recall_at_1	observed_recall_at_1	0.2507131784281786	0.1867915992904138	0.3448310530863048	0.0790197268979454	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	observed_auroc	observed_auroc	0.7728956717106041	0.7381008081906153	0.8214212724864679	0.0416602321479263	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	observed_best_positive_similarity	observed_best_positive_similarity	0.252048655446342	0.1952184294088806	0.3486983713262388	0.076739970958679	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	random_normalized_best_positive_rank	random_normalized_best_positive_rank					not_estimable	too_few_clusters_or_values	0.95	2000	0	21857	0	0	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	random_recall_at_1	random_recall_at_1					not_estimable	too_few_clusters_or_values	0.95	2000	0	21857	0	0	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	random_auroc	random_auroc					not_estimable	too_few_clusters_or_values	0.95	2000	0	21857	0	0	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	delta_vs_random_normalized_best_positive_rank	delta_vs_random_normalized_best_positive_rank	-0.0066133814906374	-0.0361801551247503	0.0210866868595726	0.0286334209921614	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	source_individual_n_peers	source_individual_n_peers	145.44407612054087	139.8088856194766	151.19702843569274	5.694071408108073	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	source_individual_mean_similarity	source_individual_mean_similarity	0.1119089436276701	0.104567340727631	0.1196425762957344	0.0075376177840516	bca	ok	0.95	2000	2000	21857	21576	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	source_individual_sd_similarity	source_individual_sd_similarity	0.1457685613835161	0.1398929577375591	0.1514028560229398	0.0057549491426903	bca	ok	0.95	2000	2000	21857	21573	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	source_individual_n_below_observed	source_individual_n_below_observed	99.49507300047829	91.7816380861548	106.81546880800248	7.516915360923832	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	source_individual_fraction_below_observed	source_individual_fraction_below_observed	0.6478624096540465	0.5933498968990338	0.7183586508383978	0.0625043769696819	bca	ok	0.95	2000	2000	21857	21576	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	source_individual_corrected_percentile	source_individual_corrected_percentile	0.65594307137198	0.6062164713665511	0.7240156495994217	0.0588995891164352	bca	ok	0.95	2000	2000	21857	21576	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	target_individual_n_peers	target_individual_n_peers	144.9848238402434	139.32513893100207	150.5512441821052	5.6130526255515605	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	target_individual_mean_similarity	target_individual_mean_similarity	0.0488605361889484	0.0405362413195755	0.0587942774292836	0.009129018054854	bca	ok	0.95	2000	2000	21857	21442	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	target_individual_sd_similarity	target_individual_sd_similarity	0.1146134230734732	0.1082980024941333	0.1210628872179714	0.006382442361919	bca	ok	0.95	2000	2000	21857	21438	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	target_individual_n_below_observed	target_individual_n_below_observed	112.67352896167074	105.68539893242634	119.15331224342412	6.733956655498886	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	target_individual_fraction_below_observed	target_individual_fraction_below_observed	0.7645707937875363	0.7230896793830842	0.8079766437740433	0.0424434821954795	bca	ok	0.95	2000	2000	21857	21442	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	target_individual_corrected_percentile	target_individual_corrected_percentile	0.7690864719064918	0.7324818557506612	0.813629681696494	0.0405739129729164	bca	ok	0.95	2000	2000	21857	21442	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset	reviewer_minimal_retrieval_dataset_pair	source_centroid_similarity	source_centroid_similarity	0.2615179900612085	0.2414789161369837	0.2834597445750241	0.0209904142190202	bca	ok	0.95	2000	2000	21857	21576	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
