dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	baseline_pair_direction_agreement_p05	0.7361058587592503	0.7206060654776616	0.7517024002806918	1910	1295	846	ok	0.736 [0.721, 0.752]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	delta_vs_baseline_pair_direction_agreement_p05	0.16443113314846886	0.12630948369042602	0.1952383242546632	1910	230	161	ok	+0.164 [0.126, 0.195]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	observed_direction_agreement_p05	0.9233007712062548	0.8922792973575421	0.9486477990578316	1910	230	161	ok	0.923 [0.892, 0.949]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.16443113314846886	0.12647397906831528	0.19624993002256397	1910	230	161	ok	+0.164 [0.126, 0.196]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.36397177195170966	0.33190840346762496	0.3888290515107068	1910	230	161	ok	+0.364 [0.332, 0.389]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.26418848111555	0.2299974124868705	0.2951919192080687	1910	230	161	ok	+0.264 [0.230, 0.295]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.3927475482171902	0.35954323923662695	0.4161361221449605	1910	230	161	ok	+0.393 [0.360, 0.416]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_centroid_direction_agreement_pair_p05	0.7361058587592503	0.7207894114001194	0.7519944523337994	1910	1295	846	ok	0.736 [0.721, 0.752]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_peer_direction_agreement_pair_p05	0.559328999254545	0.554935625679396	0.564558864633288	1910	230	161	ok	0.559 [0.555, 0.565]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.8732447978345458	0.8338733861357447	0.9034859011423505	1910	230	161	ok	0.873 [0.834, 0.903]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.8727496603260869	0.834774027358791	0.9011496103607712	1910	230	161	ok	0.873 [0.835, 0.901]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.15386019552562924	0.14317778162656022	0.16667169678868404	1910	230	161	ok	0.154 [0.143, 0.167]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_centroid_direction_agreement_pair_p05	0.5617835705330902	0.5453818924459163	0.5788141727205914	1910	1288	843	ok	0.562 [0.545, 0.579]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_peer_direction_agreement_pair_p05	0.5305532229890645	0.5275260004325845	0.5345616377249595	1910	230	161	ok	0.531 [0.528, 0.535]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.8841820334968702	0.8460730481260069	0.9118181559804541	1910	230	161	ok	0.884 [0.846, 0.912]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.8837296195652173	0.8459660666795205	0.9125026208736918	1910	230	161	ok	0.884 [0.846, 0.913]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.13858811390191514	0.1267274217305447	0.15116689981320652	1910	230	161	ok	0.139 [0.127, 0.151]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	baseline_pair_direction_agreement_p05	0.8178820348267476	0.7879900709877486	0.8422410581575	127	124	121	ok	0.818 [0.788, 0.842]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	delta_vs_baseline_pair_direction_agreement_p05	0.05256238153734799	-0.01931305102846018	0.10294241375495393	127	55	55	ok	+0.053 [-0.019, 0.103]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	observed_direction_agreement_p05	0.8726738576891024	0.7999544505802876	0.9177188164192432	127	55	55	ok	0.873 [0.800, 0.918]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.05256238153734799	-0.019591683548784253	0.10274288435700726	127	55	55	ok	+0.053 [-0.020, 0.103]
