dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_spearman_logfc	-0.0749657123840464	-0.0820859653915213	-0.0669683084795095	1910	1910	974	ok	-0.075 [-0.082, -0.067]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_delta_vs_source_peer_spearman_logfc	0.015507516549416	0.0102217529998778	0.0218316030056591	1910	1910	974	ok	+0.016 [0.010, 0.022]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_delta_vs_target_centroid_spearman_logfc	0.0135494858208048	0.0085468971289284	0.0195875286478726	1910	1910	974	ok	+0.014 [0.009, 0.020]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_delta_vs_target_peer_spearman_logfc	0.0325391991315477	0.0272411622899281	0.0390778707018052	1910	1910	974	ok	+0.033 [0.027, 0.039]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_observed_spearman_logfc	0.0369463577189052	0.0314666689659408	0.0430668269678859	1910	1910	974	ok	0.037 [0.031, 0.043]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_centroid_spearman_logfc_pair	0.1119120701029517	0.1072029171538597	0.1166987373015994	1910	1910	974	ok	0.112 [0.107, 0.117]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair	0.0214388411694892	0.020481954704611	0.022450260229812	1910	1910	974	ok	0.021 [0.020, 0.022]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_corrected_percentile	0.5365677266893475	0.5250473972880579	0.5479708366064584	1910	1910	974	ok	0.537 [0.525, 0.548]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_fraction_below_observed	0.5347574443717278	0.5230987237708966	0.5463771116808452	1910	1910	974	ok	0.535 [0.523, 0.546]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_sd_score	0.076339575553188	0.075504153341719	0.0771801370524609	1910	1910	974	ok	0.076 [0.076, 0.077]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_centroid_spearman_logfc_pair	0.0233968718981004	0.0219778616299732	0.0248759311365701	1910	1910	974	ok	0.023 [0.022, 0.025]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair	0.0044071585873575	0.0041111795654567	0.0046898959979675	1910	1910	974	ok	0.004 [0.004, 0.005]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_corrected_percentile	0.611155703139324	0.5963578617998161	0.6250328890822033	1910	1910	974	ok	0.611 [0.596, 0.625]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_fraction_below_observed	0.609636780104712	0.5949669524640568	0.623095508710301	1910	1910	974	ok	0.610 [0.595, 0.623]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_sd_score	0.0368873304478087	0.0364090803628268	0.0374109413196383	1910	1910	974	ok	0.037 [0.036, 0.037]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_spearman_logfc	-0.1591568889849235	-0.193056812472275	-0.1226238898726084	127	127	124	ok	-0.159 [-0.193, -0.123]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_source_peer_spearman_logfc	0.0189823791076209	-0.0094860930180934	0.050262282219646	127	127	124	ok	+0.019 [-0.009, 0.050]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_target_centroid_spearman_logfc	0.0416951558854545	0.0243587644892856	0.0629936603829648	127	127	124	ok	+0.042 [0.024, 0.063]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_target_peer_spearman_logfc	0.0983371393903219	0.0742759931542107	0.1256911223938271	127	127	124	ok	+0.098 [0.074, 0.126]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_observed_spearman_logfc	0.1175473579144837	0.0889920630301457	0.1492396534296666	127	127	124	ok	0.118 [0.089, 0.149]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_source_centroid_spearman_logfc_pair	0.2767042468994072	0.249176545617941	0.3044713315841516	127	127	124	ok	0.277 [0.249, 0.304]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair	0.0985649788068627	0.0877806043255638	0.1107518833197501	127	127	124	ok	0.099 [0.088, 0.111]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_corrected_percentile	0.5341321131547884	0.4816670667288761	0.5810822548968498	127	127	124	ok	0.534 [0.482, 0.581]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_fraction_below_observed	0.5304754864308193	0.4782720939966023	0.5809169784873004	127	127	124	ok	0.530 [0.478, 0.581]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_sd_score	0.1267182149280865	0.1215481784543664	0.1314727070333466	127	127	124	ok	0.127 [0.122, 0.131]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_target_centroid_spearman_logfc_pair	0.0758522020290291	0.0591764614037558	0.0927238986337378	127	127	124	ok	0.076 [0.059, 0.093]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair	0.0192102185241618	0.0149266440207506	0.0241585765234027	127	127	124	ok	0.019 [0.015, 0.024]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_corrected_percentile	0.7014978875707473	0.6480489861059031	0.7533304857481523	127	127	124	ok	0.701 [0.648, 0.753]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_fraction_below_observed	0.6991378793494971	0.6385360995537069	0.7506389644099697	127	127	124	ok	0.699 [0.639, 0.751]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_sd_score	0.0620247953454104	0.0576698462653559	0.0669558927317623	127	127	124	ok	0.062 [0.058, 0.067]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_spearman_logfc	-0.0064190968371214	-0.0271913471183732	0.0153105664802689	1060	1060	257	ok	-0.006 [-0.027, 0.015]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_delta_vs_source_peer_spearman_logfc	0.1603327161623129	0.1335017245708462	0.1903938115091137	1060	1060	257	ok	+0.160 [0.134, 0.190]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_delta_vs_target_centroid_spearman_logfc	0.1325880008402432	0.1156787848746922	0.1532080781326756	1060	1060	257	ok	+0.133 [0.116, 0.153]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_delta_vs_target_peer_spearman_logfc	0.2083312970186257	0.1832415803427842	0.2371074938398939	1060	1060	257	ok	+0.208 [0.183, 0.237]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_observed_spearman_logfc	0.2305718917449137	0.2037201435181863	0.2592841895924841	1060	1060	257	ok	0.231 [0.204, 0.259]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_source_centroid_spearman_logfc_pair	0.2369909885820351	0.2181237927281808	0.2545613345031412	1060	1060	257	ok	0.237 [0.218, 0.255]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair	0.0702391755826007	0.0658068794399715	0.074960807384312	1060	1060	257	ok	0.070 [0.066, 0.075]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_corrected_percentile	0.6904109590738688	0.662578775010094	0.7156734371862191	1060	1060	257	ok	0.690 [0.663, 0.716]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_fraction_below_observed	0.6869075705102664	0.6627506760252937	0.7157737161452326	1060	1060	257	ok	0.687 [0.663, 0.716]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_sd_score	0.1580726015737373	0.1542929295110718	0.1622750269543559	1060	1060	257	ok	0.158 [0.154, 0.162]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_target_centroid_spearman_logfc_pair	0.0979838909046704	0.0819070816791221	0.1149425305164558	1060	1060	257	ok	0.098 [0.082, 0.115]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair	0.0222405947262879	0.018957456987801	0.0256687730573609	1060	1060	257	ok	0.022 [0.019, 0.026]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_corrected_percentile	0.7776221640463696	0.7558920391382732	0.8016406495368162	1060	1060	257	ok	0.778 [0.756, 0.802]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_fraction_below_observed	0.7756565968570693	0.7536721075707332	0.7987359296653799	1060	1060	257	ok	0.776 [0.754, 0.799]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_sd_score	0.1278957533269225	0.1241789632412776	0.1319531991466976	1060	1060	257	ok	0.128 [0.124, 0.132]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_spearman_logfc	-0.1033690582767887	-0.1244042699200978	-0.0799258843413651	162	162	90	ok	-0.103 [-0.124, -0.080]
