dataset_a	dataset_b	scale_variant	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_observed_spearman_logfc	mean_w4_observed_spearman_logfc	0.0369463577189052	0.0314666689659408	0.0430668269678859	0.0058000790009725	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_source_centroid_spearman_logfc_pair	mean_w4_source_centroid_spearman_logfc_pair	0.1119120701029517	0.1072029171538597	0.1166987373015994	0.0047479100738698	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_delta_vs_source_centroid_spearman_logfc	mean_w4_delta_vs_source_centroid_spearman_logfc	-0.0749657123840464	-0.0820859653915213	-0.0669683084795095	0.0075588284560059	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_target_centroid_spearman_logfc_pair	mean_w4_target_centroid_spearman_logfc_pair	0.0233968718981004	0.0219778616299732	0.0248759311365701	0.0014490347532984	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_delta_vs_target_centroid_spearman_logfc	mean_w4_delta_vs_target_centroid_spearman_logfc	0.0135494858208048	0.0085468971289284	0.0195875286478726	0.0055203157594721	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_source_peer_spearman_logfc_pair	mean_w4_source_peer_spearman_logfc_pair	0.0214388411694892	0.020481954704611	0.022450260229812	0.0009841527626005	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_delta_vs_source_peer_spearman_logfc	mean_w4_delta_vs_source_peer_spearman_logfc	0.015507516549416	0.0102217529998778	0.0218316030056591	0.0058049250028906	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_source_peer_spearman_logfc_pair_sd_score	mean_w4_source_peer_spearman_logfc_pair_sd_score	0.076339575553188	0.075504153341719	0.0771801370524609	0.0008379918553709	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_source_peer_spearman_logfc_pair_fraction_below_observed	mean_w4_source_peer_spearman_logfc_pair_fraction_below_observed	0.5347574443717278	0.5230987237708966	0.5463771116808452	0.0116391939549743	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_source_peer_spearman_logfc_pair_corrected_percentile	mean_w4_source_peer_spearman_logfc_pair_corrected_percentile	0.5365677266893475	0.5250473972880579	0.5479708366064584	0.0114617196592002	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_target_peer_spearman_logfc_pair	mean_w4_target_peer_spearman_logfc_pair	0.0044071585873575	0.0041111795654567	0.0046898959979675	0.0002893582162553	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_delta_vs_target_peer_spearman_logfc	mean_w4_delta_vs_target_peer_spearman_logfc	0.0325391991315477	0.0272411622899281	0.0390778707018052	0.0059183542059385	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_target_peer_spearman_logfc_pair_sd_score	mean_w4_target_peer_spearman_logfc_pair_sd_score	0.0368873304478087	0.0364090803628268	0.0374109413196383	0.0005009304784057	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_target_peer_spearman_logfc_pair_fraction_below_observed	mean_w4_target_peer_spearman_logfc_pair_fraction_below_observed	0.609636780104712	0.5949669524640568	0.623095508710301	0.014064278123122	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_target_peer_spearman_logfc_pair_corrected_percentile	mean_w4_target_peer_spearman_logfc_pair_corrected_percentile	0.611155703139324	0.5963578617998161	0.6250328890822033	0.0143375136411936	bca	ok	0.95	2000	2000	1910	1910	974	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_signature_dataset_pair	w4_observed_spearman_logfc	mean_w4_observed_spearman_logfc	0.1175473579144837	0.0889920630301457	0.1492396534296666	0.0301237951997604	bca	ok	0.95	2000	2000	127	127	124	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
