Dataset pair	dataset_a	dataset_b	Similarity	Scale	Baseline peer scope	n_cmpd	n_rows	Observed rank [95% CI]	Recall@1 [95% CI]	AUROC [95% CI]	Source baseline rank [95% CI]	Delta source [95% CI]	Source corrected percentile [95% CI]	Target baseline rank [95% CI]	Delta target [95% CI]	Target corrected percentile [95% CI]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	Cosine	raw	up to 256 deterministic peers	974	11042	0.576 [0.561, 0.590]	0.023 [0.016, 0.030]	0.576 [0.562, 0.590]	0.612 [0.609, 0.616]	-0.036 [-0.051, -0.021]	0.457 [0.445, 0.469]	0.501 [0.500, 0.502]	+0.075 [0.061, 0.089]	0.578 [0.563, 0.592]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	Cosine	raw	up to 256 deterministic peers	124	855	0.626 [0.559, 0.705]	0.098 [0.049, 0.214]	0.618 [0.541, 0.698]	0.733 [0.714, 0.753]	-0.107 [-0.186, -0.019]	0.397 [0.352, 0.491]	0.533 [0.530, 0.537]	+0.092 [0.025, 0.178]	0.601 [0.535, 0.687]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	Cosine	raw	up to 256 deterministic peers	257	21857	0.749 [0.711, 0.800]	0.238 [0.175, 0.345]	0.746 [0.706, 0.799]	0.631 [0.619, 0.645]	+0.117 [0.070, 0.174]	0.638 [0.586, 0.714]	0.526 [0.518, 0.535]	+0.219 [0.178, 0.269]	0.746 [0.706, 0.796]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	Cosine	raw	up to 256 deterministic peers	90	1897	0.644 [0.592, 0.689]	0.045 [0.025, 0.088]	0.643 [0.590, 0.686]	0.664 [0.644, 0.676]	-0.019 [-0.062, 0.024]	0.469 [0.432, 0.519]	0.522 [0.516, 0.527]	+0.123 [0.073, 0.166]	0.641 [0.592, 0.686]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	Cosine	raw	up to 256 deterministic peers	86	692	0.641 [0.568, 0.716]	0.093 [0.047, 0.160]	0.640 [0.563, 0.707]	0.767 [0.735, 0.790]	-0.129 [-0.201, -0.062]	0.365 [0.305, 0.463]	0.515 [0.505, 0.523]	+0.119 [0.045, 0.194]	0.641 [0.568, 0.729]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	Cosine	raw	up to 256 deterministic peers	68	372	0.848 [0.783, 0.898]	0.201 [0.126, 0.300]	0.848 [0.777, 0.897]	0.710 [0.693, 0.728]	+0.138 [0.060, 0.196]	0.616 [0.544, 0.681]	0.575 [0.567, 0.580]	+0.274 [0.214, 0.322]	0.821 [0.749, 0.878]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	Cosine	raw	up to 256 deterministic peers	83	2323	0.697 [0.653, 0.747]	0.057 [0.037, 0.085]	0.696 [0.652, 0.744]	0.611 [0.603, 0.618]	+0.086 [0.043, 0.130]	0.564 [0.524, 0.611]	0.508 [0.504, 0.512]	+0.189 [0.146, 0.236]	0.698 [0.657, 0.747]
L1000 Phase2–Tahoe	l1000_phase2	tahoe	Cosine	raw	up to 256 deterministic peers	110	1755	0.611 [0.563, 0.654]	0.026 [0.012, 0.052]	0.610 [0.561, 0.652]	0.740 [0.725, 0.751]	-0.130 [-0.185, -0.077]	0.354 [0.314, 0.412]	0.501 [0.497, 0.505]	+0.110 [0.063, 0.156]	0.616 [0.570, 0.665]
Tahoe–Sciplex	tahoe	sciplex	Cosine	raw	up to 256 deterministic peers	23	223	0.689 [0.621, 0.770]	0.079 [0.036, 0.145]	0.688 [0.624, 0.777]	0.798 [0.767, 0.826]	-0.109 [-0.189, -0.020]	0.345 [0.272, 0.461]	0.499 [0.490, 0.507]	+0.190 [0.120, 0.269]	0.697 [0.626, 0.783]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	974	11042	0.599 [0.585, 0.614]	0.027 [0.020, 0.035]	0.599 [0.585, 0.614]	0.554 [0.552, 0.557]	+0.045 [0.030, 0.059]	0.531 [0.520, 0.542]	0.502 [0.501, 0.502]	+0.098 [0.082, 0.112]	0.600 [0.586, 0.615]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	124	855	0.616 [0.546, 0.699]	0.080 [0.039, 0.195]	0.608 [0.533, 0.695]	0.707 [0.666, 0.737]	-0.091 [-0.184, 0.003]	0.416 [0.359, 0.505]	0.527 [0.522, 0.531]	+0.090 [0.013, 0.170]	0.601 [0.525, 0.687]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	257	21857	0.775 [0.739, 0.821]	0.251 [0.187, 0.345]	0.773 [0.738, 0.821]	0.630 [0.616, 0.646]	+0.144 [0.098, 0.195]	0.656 [0.606, 0.724]	0.530 [0.523, 0.540]	+0.240 [0.200, 0.288]	0.769 [0.732, 0.814]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	90	1897	0.684 [0.642, 0.726]	0.056 [0.032, 0.103]	0.684 [0.644, 0.722]	0.620 [0.603, 0.636]	+0.065 [0.024, 0.106]	0.529 [0.496, 0.576]	0.524 [0.517, 0.531]	+0.161 [0.116, 0.203]	0.675 [0.634, 0.716]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	86	692	0.656 [0.589, 0.722]	0.094 [0.045, 0.172]	0.654 [0.586, 0.719]	0.658 [0.629, 0.682]	-0.007 [-0.067, 0.056]	0.489 [0.436, 0.577]	0.513 [0.502, 0.520]	+0.136 [0.067, 0.207]	0.655 [0.583, 0.729]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	68	372	0.842 [0.767, 0.894]	0.198 [0.127, 0.296]	0.842 [0.771, 0.896]	0.621 [0.603, 0.636]	+0.221 [0.138, 0.285]	0.673 [0.611, 0.730]	0.555 [0.544, 0.565]	+0.286 [0.220, 0.335]	0.828 [0.759, 0.884]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	83	2323	0.753 [0.716, 0.789]	0.061 [0.039, 0.088]	0.752 [0.714, 0.790]	0.575 [0.568, 0.583]	+0.178 [0.138, 0.216]	0.630 [0.596, 0.673]	0.514 [0.510, 0.519]	+0.238 [0.201, 0.277]	0.748 [0.708, 0.785]
L1000 Phase2–Tahoe	l1000_phase2	tahoe	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	110	1755	0.641 [0.595, 0.684]	0.035 [0.016, 0.068]	0.641 [0.597, 0.681]	0.647 [0.631, 0.660]	-0.006 [-0.056, 0.047]	0.460 [0.421, 0.517]	0.503 [0.498, 0.506]	+0.138 [0.095, 0.184]	0.644 [0.599, 0.690]
Tahoe–Sciplex	tahoe	sciplex	Cosine	per_gene_population_zscore_dataset	up to 256 deterministic peers	23	223	0.688 [0.613, 0.773]	0.072 [0.028, 0.156]	0.688 [0.615, 0.774]	0.640 [0.616, 0.665]	+0.048 [-0.031, 0.141]	0.505 [0.436, 0.604]	0.502 [0.492, 0.510]	+0.187 [0.117, 0.275]	0.692 [0.617, 0.778]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	Cosine	per_gene_population_zscore_dataset_cell_type	up to 256 deterministic peers	974	11042	0.607 [0.592, 0.621]	0.029 [0.022, 0.038]	0.607 [0.592, 0.621]	0.522 [0.520, 0.524]	+0.085 [0.071, 0.101]	0.565 [0.554, 0.577]	0.502 [0.501, 0.502]	+0.106 [0.092, 0.120]	0.606 [0.592, 0.620]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	Cosine	per_gene_population_zscore_dataset_cell_type	up to 256 deterministic peers	124	855	0.607 [0.536, 0.689]	0.100 [0.048, 0.226]	0.598 [0.521, 0.683]	0.588 [0.538, 0.621]	+0.019 [-0.065, 0.130]	0.518 [0.465, 0.601]	0.521 [0.515, 0.526]	+0.086 [0.009, 0.170]	0.596 [0.520, 0.676]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	Cosine	per_gene_population_zscore_dataset_cell_type	up to 256 deterministic peers	257	21857	0.796 [0.765, 0.837]	0.253 [0.189, 0.360]	0.794 [0.761, 0.835]	0.601 [0.586, 0.616]	+0.194 [0.149, 0.239]	0.698 [0.651, 0.754]	0.533 [0.527, 0.543]	+0.258 [0.220, 0.299]	0.787 [0.751, 0.826]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	Cosine	per_gene_population_zscore_dataset_cell_type	up to 256 deterministic peers	90	1897	0.699 [0.659, 0.739]	0.052 [0.029, 0.099]	0.699 [0.656, 0.740]	0.570 [0.553, 0.587]	+0.130 [0.089, 0.169]	0.584 [0.553, 0.623]	0.522 [0.515, 0.529]	+0.177 [0.135, 0.218]	0.690 [0.647, 0.730]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	Cosine	per_gene_population_zscore_dataset_cell_type	up to 256 deterministic peers	86	692	0.666 [0.598, 0.737]	0.097 [0.044, 0.167]	0.665 [0.586, 0.727]	0.566 [0.538, 0.589]	+0.095 [0.034, 0.160]	0.575 [0.521, 0.646]	0.511 [0.501, 0.519]	+0.149 [0.075, 0.220]	0.671 [0.593, 0.741]
