dataset_pair	dataset_a	dataset_b	similarity_metric	scale_variant	metric	mean	ci_low	ci_high	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_rows	n_finite_rows	n_compounds	uncertainty_scope
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	0.0448656355448133	0.029591947025318	0.0589720594635084	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.0977494168026212	0.0824973342536687	0.1116410108740198	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	observed_auroc	0.5990551798516107	0.5851430144696426	0.6136537922129698	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.5993235486494435	0.5851870659235131	0.6136690290341097	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.0266933334981861	0.0201719861605689	0.0353260246132037	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.5313090405321186	0.5195458063030846	0.5424781673034018	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.5544579131046298	0.5517678486364814	0.5571526960046508	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.5997948931205414	0.5856518540381831	0.6149918868571072	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5015741318468222	0.5009732283709859	0.502405981268336	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	-0.091014367651144	-0.1838426636171772	0.0026711880630694	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.0898330579531685	0.0130428101915788	0.1695651578764898	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	observed_auroc	0.6077766143682265	0.5333225271420163	0.6947678534213457	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.6164528599844421	0.5461027517161751	0.6988047609650702	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.0796537996371699	0.0392921127451471	0.1951877655269046	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.4160313275146164	0.3588320027119693	0.5053393927936132	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.7074672276355861	0.6656389000316176	0.737346919116094	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.6006201865507397	0.5250829909817419	0.687107369103009	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5266198020312736	0.5221255472980081	0.5307240229090713	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	0.1436033777669272	0.0980373818949968	0.1948935438366753	bca	ok	0.95	2000	21857	21576	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.2395077926205234	0.2002627440923232	0.2878154101386854	bca	ok	0.95	2000	21857	21442	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	observed_auroc	0.7728956717106041	0.7381008081906153	0.8214212724864679	bca	ok	0.95	2000	21857	21857	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.775294631360553	0.7389662248414602	0.8205296055527549	bca	ok	0.95	2000	21857	21857	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
