unit	dataset_a	dataset_b	n	min_fold_difference	q25_fold_difference	median_fold_difference	q75_fold_difference	q90_fold_difference	q95_fold_difference	max_fold_difference
matched_sample_pair	cigs_mce	cigs_tcm	15973	1.0	1.0	1.0	1.0	1.0	1.0	2.0000000000000004
matched_sample_pair	l1000_phase1	cigs_mce	1401	1.0	1.0	1.0	1.0	1.0	1.0	4.999999999999999
matched_sample_pair	l1000_phase1	l1000_phase2	50695	1.0	1.0	1.0	1.0810810810810811	1.665	1.665	10.0
matched_sample_pair	l1000_phase1	sciplex	2695	1.0	1.0	1.0	1.11000001431	1.2349999999999997	1.3000000268199998	9.999999999999998
matched_sample_pair	l1000_phase1	tahoe	610	1.2135922096598408	1.6	1.9999999999999998	1.9999999999999998	1.9999999999999998	1.9999999999999998	8.879999999999999
matched_sample_pair	l1000_phase2	cigs_mce	508	1.0	1.0	1.0	1.0	1.0	1.0	3.0030030030030033
matched_sample_pair	l1000_phase2	sciplex	3192	1.0	1.0	1.1099999999999999	1.1999999999999995	1.1999999999999995	1.2345699999999997	1.2345699999999997
matched_sample_pair	l1000_phase2	tahoe	1473	1.214998918650962	1.2499999999999996	1.35000135000135	1.5000015000015001	1.5015015015015016	1.5015015015015016	2.4
matched_sample_pair	tahoe	sciplex	170	1.9999999999999998	1.9999999999999998	2.0000000000000004	2.000000000000001	2.000000000000001	2.000000000000001	2.000000000000001
unique_matched_condition	cigs_mce	cigs_tcm	1911	1.0	1.0	1.0	1.0	1.0	1.0	2.0000000000000004
unique_matched_condition	l1000_phase1	cigs_mce	127	1.0	1.0	1.0	1.0	1.0	1.0	4.999999999999999
unique_matched_condition	l1000_phase1	l1000_phase2	2836	1.0	1.0	1.0810810810810811	1.5	1.665	1.665	10.0
unique_matched_condition	l1000_phase1	sciplex	291	1.0	1.0	1.0	1.1999999731799997	1.3000000268199998	1.9999999999999996	9.999999999999998
unique_matched_condition	l1000_phase1	tahoe	152	1.2135922096598408	1.6	1.9999999999999998	1.9999999999999998	1.9999999999999998	1.9999999999999998	8.879999999999999
unique_matched_condition	l1000_phase2	cigs_mce	68	1.0	1.0	1.0	1.0	1.0	1.0	3.0030030030030033
unique_matched_condition	l1000_phase2	sciplex	381	1.0	1.0	1.1099999999999999	1.1999999999999995	1.2345699999999997	1.2345699999999997	1.2345699999999997
unique_matched_condition	l1000_phase2	tahoe	402	1.214998918650962	1.2237491889882213	1.35000135000135	1.5000015000015001	1.5000015000015001	1.5015015015015016	2.4
unique_matched_condition	tahoe	sciplex	69	1.9999999999999998	1.9999999999999998	2.0000000000000004	2.000000000000001	2.000000000000001	2.000000000000001	2.000000000000001
