dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope	cell_type
2x	1	2.0	0.3010299956639812	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.1593182263844213	0.11086979035521198	0.21282880078037508	0.05097950521258155	bca	ok	0.95	2000	2000	553	506	170	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.3841724460619057	0.35481544632560746	0.40926053953468355	0.027222546604538045	bca	ok	0.95	2000	2000	553	553	176	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.21974623182495456	-0.2655172318579292	-0.17528033815602623	0.04511844685095148	bca	ok	0.95	2000	2000	553	506	170	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.8949486055671774	0.8641586258546246	0.9209851780901733	0.02841327611777439	bca	ok	0.95	2000	2000	553	276	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7085395399888197	0.694474204294076	0.7231249693553872	0.014325382530655573	bca	ok	0.95	2000	2000	553	553	176	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.14512812349632287	0.11672949417470974	0.17194200780764488	0.02760625681646757	bca	ok	0.95	2000	2000	553	276	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.2533539260837602	0.009448454595252481	0.48616804670849456	0.23835979605662105	bca	ok	0.95	2000	2000	53	7	5	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.250934641883557	0.09775266331086326	0.3760000826549881	0.13912370967206242	bca	ok	0.95	2000	2000	53	49	37	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.19139379496274683	-0.5160943585042191	-0.08020225803289695	0.2179460502356611	bca	ok	0.95	2000	2000	53	7	5	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9137834821428572	0.7622279540041915	0.979591836734694	0.10868194136525122	bca	ok	0.95	2000	2000	53	8	6	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.6769844551323266	0.6077580064127736	0.7373426627355169	0.06479232816137165	bca	ok	0.95	2000	2000	53	52	37	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.12968534470850748	0.04724163770673438	0.20770515247983048	0.08023175738654806	bca	ok	0.95	2000	2000	53	8	6	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	tahoe	dose_threshold_dataset_pair	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.1622265556796972	-0.05849449107876384	0.3200686690168851	0.18928158004782447	bca	ok	0.95	2000	2000	21	13	11	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	tahoe	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.4231600792720486	0.28892938290275993	0.5121132739615222	0.11159194552938112	bca	ok	0.95	2000	2000	21	21	17	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	tahoe	dose_threshold_dataset_pair	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.2608057337586894	-0.36736118648759414	-0.1595476547777554	0.10390676585491937	bca	ok	0.95	2000	2000	21	13	11	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
2x	1	2.0	0.3010299956639812	False	l1000_phase1	tahoe	dose_threshold_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.7211948840512399	0.3329886754825082	0.8461948840512399	0.25660310428436583	bca	ok	0.95	2000	2000	21	8	6	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
