dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	cell_type	n_matched_sample_pairs	n_matching_conditions	n_matching_drugs	n_eligible_contexts	n_scored_sample_pairs	n_scored_drug_line_times	mean_observed_deg_lfc_spearman_sym_p05	mean_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_observed_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	CVCL_0062	7799	942	942	1	0							
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	CVCL_0063	8064	953	953	1	0							
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	CVCL_0062	1041	112	112	1	0							
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	CVCL_0063	354	14	14	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0023	5953	140	134	2	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0031	7803	178	178	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0033	730	59	59	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0035	5660	112	112	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0062	827	89	89	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0132	1475	31	31	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0178	638	62	62	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0320	1147	22	22	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0332	511	62	62	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_0598	552	61	61	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_5136	627	25	25	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_U602	763	34	34	1	0							
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	CVCL_VU89	1020	32	32	1	0							
