dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	n_matched_sample_pairs	n_matching_conditions	n_matching_drugs	n_eligible_contexts	n_scored_sample_pairs	n_scored_drug_line_times	mean_observed_deg_lfc_spearman_sym_p05	mean_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_observed_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	15863	1895	968	2	15854	1894	0.35141871279051357	0.4388250392193383	-0.14224339463527472	0.9199316982974165	0.7362696100178618	0.15993615270914727
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	1395	126	123	2	1395	126	0.3775031377346485	0.5581053333287542	-0.19038343246322575	0.8779788014138687	0.8190433096721791	0.05518091327483505
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	29250	972	237	16	29250	972	0.47769971327418287	0.5170735926530413	-0.05258756424208581	0.928944966035236	0.7524343339340409	0.15181871437699737
exact	0	1.0	0.0	False	l1000_phase1	sciplex	1918	163	90	2	1888	158	0.42845050364482606	0.49442863420896405	-0.17438858037269458	0.8990159313844172	0.7294034836157993	0.1300893339765514
exact	0	1.0	0.0	False	l1000_phase2	cigs_mce	499	67	67	1	499	67	0.4821758481453532	0.6438415837475928	-0.15462390929557562	0.9279959974619908	0.8363607376156039	0.10210844863185899
exact	0	1.0	0.0	False	l1000_phase2	sciplex	1147	127	83	2	1118	124	0.5377525125611938	0.533316920583914	-0.11518474517412033	0.9494054646551107	0.7117099373219525	0.18359924927529467
2x	1	2.0	0.3010299956639812	False	cigs_mce	cigs_tcm	15973	1911	974	2	15964	1910	0.36495289553172255	0.4408347049805479	-0.1288934858116957	0.9233007712062546	0.7361058587592503	0.16443113314846886
2x	1	2.0	0.3010299956639812	False	l1000_phase1	cigs_mce	1395	126	123	2	1395	126	0.3775031377346485	0.5581053333287542	-0.19038343246322575	0.8779788014138687	0.8190433096721791	0.05518091327483505
2x	1	2.0	0.3010299956639812	False	l1000_phase1	l1000_phase2	49733	2791	246	16	49733	1016	0.37331127833287514	0.45876120932553405	-0.09489250798048542	0.9198336383204192	0.725162782476999	0.1576817202617046
2x	1	2.0	0.3010299956639812	False	l1000_phase1	sciplex	2689	290	90	2	2647	161	0.39513772113210355	0.47633618652272763	-0.18834554743883364	0.8881999170482607	0.7236901149332148	0.12935290901567637
2x	1	2.0	0.3010299956639812	False	l1000_phase1	tahoe	600	149	86	3	600	111	0.17415392046766848	0.3612419891123853	-0.24999719289328456	0.735567815403538	0.7293357409685798	-0.017595526335950504
2x	1	2.0	0.3010299956639812	False	l1000_phase2	cigs_mce	499	67	67	1	499	67	0.4821758481453532	0.6438415837475928	-0.15462390929557562	0.9279959974619908	0.8363607376156039	0.10210844863185899
2x	1	2.0	0.3010299956639812	False	l1000_phase2	sciplex	3192	381	83	2	3133	127	0.49083671164745035	0.394572338593934	-0.10704485277801415	0.9492136233388188	0.6826053698142059	0.18624377057611713
2x	1	2.0	0.3010299956639812	False	l1000_phase2	tahoe	1471	401	110	2	1471	134	0.08424644027302705	0.3016139836914525	-0.30535169974086596	0.6748082536247473	0.6862125906499085	-0.09307537171183428
2x	1	2.0	0.3010299956639812	False	tahoe	sciplex	170	69	23	1	170	23	0.123839188230352	0.5993371814454159	-0.46548863878874897	0.8957179320303897	0.8316508665979963	0.08321488503243146
