dataset_a	dataset_b	scale_variant	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_observed_deg_lfc_spearman_sym_p05	mean_w4_observed_deg_lfc_spearman_sym_p05	0.3184748748040908	0.2705824821372551	0.3717772349813407	0.05059737642204279	bca	ok	0.95	2000	2000	1910	305	230	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_centroid_deg_lfc_spearman_pair_p05	mean_w4_source_centroid_deg_lfc_spearman_pair_p05	0.23297746616483964	0.19973527746921538	0.2617807488766005	0.031022735703692572	bca	ok	0.95	2000	2000	1910	981	701	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_source_centroid_deg_lfc_spearman_p05	0.07047107466110512	0.005197783213234205	0.13542088268768954	0.06511154973722767	bca	ok	0.95	2000	2000	1910	305	230	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_centroid_deg_lfc_spearman_pair_p05	mean_w4_target_centroid_deg_lfc_spearman_pair_p05	0.05472092490190869	0.022651585102284134	0.08814503744178273	0.0327467261697493	bca	ok	0.95	2000	2000	1910	972	697	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.2530984300685306	0.20013760206614503	0.3117207275477495	0.05579156274080223	bca	ok	0.95	2000	2000	1910	305	230	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05	mean_w4_source_peer_deg_lfc_spearman_pair_p05	0.0296186682331699	0.022976372896716148	0.03654171980912495	0.0067826734562044	bca	ok	0.95	2000	2000	1910	982	703	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_source_peer_deg_lfc_spearman_p05	mean_w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.2949850878681271	0.24145441235622075	0.3465280390392247	0.05253681334150197	bca	ok	0.95	2000	2000	1910	305	230	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	mean_w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.4681461077579591	0.4510165988563573	0.4850386777175479	0.017011039430595287	bca	ok	0.95	2000	2000	1910	982	703	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	mean_w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.5807265147657841	0.5566955644375133	0.6019872114361489	0.022645823499317763	bca	ok	0.95	2000	2000	1910	982	703	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	mean_w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.5823958302991212	0.5582576906573414	0.6031796255280487	0.02246096743535364	bca	ok	0.95	2000	2000	1910	982	703	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
