dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.1288934858116957	-0.1858545566592878	-0.0707124893519241	1910	305	230	ok	-0.129 [-0.186, -0.071]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.25317461498220284	0.1994779920198531	0.30658158775286526	1910	305	230	ok	+0.253 [0.199, 0.307]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.12830198593694822	0.08080837247954263	0.17375705924550566	1910	305	230	ok	+0.128 [0.081, 0.174]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.32837929744240174	0.27852296904115353	0.3769025658466368	1910	305	230	ok	+0.328 [0.279, 0.377]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_observed_deg_lfc_spearman_sym_p05	0.36495289553172255	0.31057487703765135	0.41751404783290225	1910	305	230	ok	0.365 [0.311, 0.418]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_source_centroid_deg_lfc_spearman_pair_p05	0.44083470498054794	0.4038820980172565	0.4702901396484	1910	981	701	ok	0.441 [0.404, 0.470]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_source_peer_deg_lfc_spearman_pair_p05	0.12669543930290392	0.11686054736786146	0.13807866720998735	1910	982	703	ok	0.127 [0.117, 0.138]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.5272462798289058	0.5030401703516749	0.5534884222986971	1910	982	703	ok	0.527 [0.503, 0.553]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.5263085141929735	0.5011683631242313	0.5508348306847376	1910	982	703	ok	0.526 [0.501, 0.551]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.46010107426854663	0.4423270347409879	0.47758766382509643	1910	982	703	ok	0.460 [0.442, 0.478]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_target_centroid_deg_lfc_spearman_pair_p05	0.11536872069808617	0.07873103257889506	0.14816365409546003	1910	972	697	ok	0.115 [0.079, 0.148]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	w4_target_peer_deg_lfc_spearman_pair_p05	0.019559954824635125	0.01359449987515898	0.02589414884234804	1910	982	703	ok	0.020 [0.014, 0.026]
