dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	baseline_pair_direction_agreement_p05	0.7361058587592503	0.7206060654776616	0.7517024002806918	1910	1295	846	ok	0.736 [0.721, 0.752]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	delta_vs_baseline_pair_direction_agreement_p05	0.16443113314846886	0.12630948369042602	0.1952383242546632	1910	230	161	ok	+0.164 [0.126, 0.195]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	observed_direction_agreement_p05	0.9233007712062548	0.8922792973575421	0.9486477990578316	1910	230	161	ok	0.923 [0.892, 0.949]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.16443113314846886	0.12647397906831528	0.19624993002256397	1910	230	161	ok	+0.164 [0.126, 0.196]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.36475472463118036	0.3311310693978594	0.38915175646241695	1910	230	161	ok	+0.365 [0.331, 0.389]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.26418848111555	0.2299974124868705	0.2951919192080687	1910	230	161	ok	+0.264 [0.230, 0.295]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.3935638078814169	0.36043632764085953	0.41686672988232254	1910	230	161	ok	+0.394 [0.360, 0.417]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_centroid_direction_agreement_pair_p05	0.7361058587592503	0.7207894114001194	0.7519944523337994	1910	1295	846	ok	0.736 [0.721, 0.752]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_peer_direction_agreement_pair_p05	0.5585460465750743	0.5539341320883543	0.5634137868520438	1910	230	161	ok	0.559 [0.554, 0.563]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.8734172387490465	0.8344777234082801	0.9039872042925126	1910	230	161	ok	0.873 [0.834, 0.904]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.8731700067934782	0.835006401659966	0.9016510287233369	1910	230	161	ok	0.873 [0.835, 0.902]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.15345080997196656	0.14288195371452497	0.1661090652835677	1910	230	161	ok	0.153 [0.143, 0.166]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_centroid_direction_agreement_pair_p05	0.5617835705330902	0.5453818924459163	0.5788141727205914	1910	1288	843	ok	0.562 [0.545, 0.579]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_peer_direction_agreement_pair_p05	0.5297369633248378	0.5265883875371117	0.5336369239969346	1910	230	161	ok	0.530 [0.527, 0.534]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.884079159250784	0.8460692950727612	0.9116980633439622	1910	230	161	ok	0.884 [0.846, 0.912]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.8838527513586957	0.8459041758663538	0.912395176005406	1910	230	161	ok	0.884 [0.846, 0.912]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.13891872187052282	0.12703522803015116	0.1516370872893964	1910	230	161	ok	0.139 [0.127, 0.152]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	baseline_pair_direction_agreement_p05	0.8178820348267476	0.7879900709877486	0.8422410581575	127	124	121	ok	0.818 [0.788, 0.842]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	delta_vs_baseline_pair_direction_agreement_p05	0.05256238153734799	-0.01931305102846018	0.10294241375495393	127	55	55	ok	+0.053 [-0.019, 0.103]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	observed_direction_agreement_p05	0.8726738576891024	0.7999544505802876	0.9177188164192432	127	55	55	ok	0.873 [0.800, 0.918]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.05256238153734799	-0.019591683548784253	0.10274288435700726	127	55	55	ok	+0.053 [-0.020, 0.103]
