dataset_a	dataset_b	scale_variant	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9233007712062548	0.8922792973575421	0.9486477990578316	0.028184250850144754	bca	ok	0.95	2000	2000	1910	230	161	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7361058587592503	0.7206060654776616	0.7517024002806918	0.0155481674015151	bca	ok	0.95	2000	2000	1910	1295	846	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.16443113314846886	0.12630948369042602	0.1952383242546632	0.03446442028211859	bca	ok	0.95	2000	2000	1910	230	161	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	raw_source_centroid_direction_agreement_pair_p05	mean_raw_source_centroid_direction_agreement_pair_p05	0.7361058587592503	0.7207894114001194	0.7519944523337994	0.015602520466839964	bca	ok	0.95	2000	2000	1910	1295	846	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	raw_delta_vs_source_centroid_direction_agreement_p05	mean_raw_delta_vs_source_centroid_direction_agreement_p05	0.16443113314846886	0.12647397906831528	0.19624993002256397	0.03488797547712434	bca	ok	0.95	2000	2000	1910	230	161	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	raw_target_centroid_direction_agreement_pair_p05	mean_raw_target_centroid_direction_agreement_pair_p05	0.5617835705330902	0.5453818924459163	0.5788141727205914	0.016716140137337576	bca	ok	0.95	2000	2000	1910	1288	843	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	raw_delta_vs_target_centroid_direction_agreement_p05	mean_raw_delta_vs_target_centroid_direction_agreement_p05	0.26418848111555	0.2299974124868705	0.2951919192080687	0.0325972533605991	bca	ok	0.95	2000	2000	1910	230	161	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	raw_source_peer_direction_agreement_pair_p05	mean_raw_source_peer_direction_agreement_pair_p05	0.5585460465750743	0.5539341320883543	0.5634137868520438	0.004739827381844752	bca	ok	0.95	2000	2000	1910	230	161	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	raw_delta_vs_source_peer_direction_agreement_p05	mean_raw_delta_vs_source_peer_direction_agreement_p05	0.36475472463118036	0.3311310693978594	0.38915175646241695	0.02901034353227877	bca	ok	0.95	2000	2000	1910	230	161	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	raw	table_5_dataset_pair	raw_source_peer_direction_agreement_pair_p05_sd_score	mean_raw_source_peer_direction_agreement_pair_p05_sd_score	0.15345080997196656	0.14288195371452497	0.1661090652835677	0.011613555784521362	bca	ok	0.95	2000	2000	1910	230	161	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
