dataset_name	similarity_metric	scale_variant	n_conditions	n_compounds	mean_candidates	Observed rank [95% CI]	Recall@1 [95% CI]	AUROC [95% CI]	Null rank	Centroid rank [95% CI]	Delta centroid [95% CI]	Observed minus null [95% CI]
cigs_mce	cosine	per_gene_population_zscore_dataset	21426	11126	32157.43582563241	0.807 [0.804, 0.810]	0.070 [0.067, 0.073]	0.687 [0.684, 0.690]	0.652	0.728 [0.724, 0.731]	0.079 [0.075, 0.083]	0.155 [0.153, 0.158]
cigs_mce	cosine	per_gene_population_zscore_dataset_cell_type	21426	11126	32157.43582563241	0.814 [0.812, 0.817]	0.071 [0.068, 0.075]	0.696 [0.693, 0.699]	0.652	0.399 [0.395, 0.402]	0.416 [0.411, 0.420]	0.163 [0.160, 0.165]
cigs_mce	cosine	raw	21426	11126	32157.43582563241	0.792 [0.789, 0.795]	0.067 [0.064, 0.070]	0.671 [0.668, 0.674]	0.652	0.761 [0.758, 0.764]	0.031 [0.027, 0.034]	0.140 [0.138, 0.143]
cigs_mce	spearman	per_gene_population_zscore_dataset	21426	11126	32157.43582563241	0.811 [0.808, 0.813]	0.069 [0.065, 0.072]	0.692 [0.689, 0.695]	0.652	0.706 [0.703, 0.710]	0.104 [0.101, 0.108]	0.159 [0.157, 0.161]
cigs_mce	spearman	per_gene_population_zscore_dataset_cell_type	21426	11126	32157.43582563241	0.818 [0.815, 0.820]	0.070 [0.066, 0.073]	0.700 [0.697, 0.703]	0.652	0.417 [0.413, 0.420]	0.401 [0.397, 0.406]	0.166 [0.164, 0.169]
cigs_mce	spearman	raw	21426	11126	32157.43582563241	0.796 [0.793, 0.799]	0.066 [0.063, 0.069]	0.675 [0.672, 0.679]	0.652	0.739 [0.736, 0.742]	0.057 [0.053, 0.060]	0.144 [0.142, 0.147]
cigs_tcm	cosine	per_gene_population_zscore_dataset	7020	1816	12234.447293447294	0.977 [0.976, 0.978]	0.251 [0.237, 0.264]	0.931 [0.928, 0.933]	0.688	0.838 [0.834, 0.842]	0.139 [0.135, 0.143]	0.289 [0.286, 0.291]
cigs_tcm	cosine	per_gene_population_zscore_dataset_cell_type	7020	1816	12234.447293447294	0.978 [0.977, 0.979]	0.255 [0.242, 0.270]	0.934 [0.932, 0.937]	0.688	0.789 [0.784, 0.794]	0.189 [0.184, 0.195]	0.290 [0.288, 0.293]
cigs_tcm	cosine	raw	7020	1816	12234.447293447294	0.963 [0.962, 0.965]	0.233 [0.220, 0.246]	0.898 [0.895, 0.901]	0.688	0.862 [0.858, 0.866]	0.102 [0.098, 0.106]	0.275 [0.273, 0.278]
cigs_tcm	spearman	per_gene_population_zscore_dataset	7020	1816	12234.447293447294	0.980 [0.979, 0.981]	0.263 [0.249, 0.276]	0.940 [0.937, 0.942]	0.688	0.841 [0.837, 0.845]	0.139 [0.135, 0.144]	0.292 [0.290, 0.295]
cigs_tcm	spearman	per_gene_population_zscore_dataset_cell_type	7020	1816	12234.447293447294	0.981 [0.980, 0.982]	0.267 [0.253, 0.280]	0.942 [0.939, 0.944]	0.688	0.784 [0.778, 0.789]	0.197 [0.192, 0.202]	0.293 [0.291, 0.295]
cigs_tcm	spearman	raw	7020	1816	12234.447293447294	0.976 [0.975, 0.977]	0.247 [0.233, 0.260]	0.929 [0.926, 0.932]	0.688	0.863 [0.859, 0.867]	0.113 [0.109, 0.117]	0.288 [0.286, 0.291]
dilimap_train_val	cosine	per_gene_population_zscore_dataset	1184	299	4992.0	0.998 [0.996, 0.998]	0.550 [0.507, 0.593]	0.993 [0.991, 0.994]	0.717	0.660 [0.641, 0.681]	0.338 [0.318, 0.358]	0.280 [0.270, 0.290]
dilimap_train_val	cosine	per_gene_population_zscore_dataset_cell_type	1184	299	4992.0	0.998 [0.996, 0.998]	0.550 [0.509, 0.594]	0.993 [0.991, 0.994]	0.717	0.660 [0.640, 0.680]	0.338 [0.318, 0.357]	0.280 [0.270, 0.290]
dilimap_train_val	cosine	raw	1184	299	4992.0	0.997 [0.996, 0.998]	0.528 [0.481, 0.574]	0.993 [0.991, 0.994]	0.717	0.799 [0.778, 0.817]	0.198 [0.179, 0.218]	0.280 [0.270, 0.290]
dilimap_train_val	spearman	per_gene_population_zscore_dataset	1184	299	4992.0	0.998 [0.996, 0.998]	0.564 [0.520, 0.605]	0.992 [0.990, 0.993]	0.717	0.629 [0.609, 0.649]	0.368 [0.349, 0.387]	0.280 [0.270, 0.290]
dilimap_train_val	spearman	per_gene_population_zscore_dataset_cell_type	1184	299	4992.0	0.998 [0.996, 0.998]	0.564 [0.526, 0.609]	0.992 [0.990, 0.993]	0.717	0.629 [0.610, 0.648]	0.368 [0.349, 0.387]	0.280 [0.270, 0.290]
dilimap_train_val	spearman	raw	1184	299	4992.0	0.996 [0.995, 0.997]	0.556 [0.513, 0.599]	0.988 [0.986, 0.990]	0.717	0.694 [0.672, 0.714]	0.302 [0.282, 0.323]	0.279 [0.269, 0.289]
gdpx2	cosine	per_gene_population_zscore_dataset	2064	86	2231.0	0.994 [0.993, 0.995]	0.364 [0.315, 0.418]	0.981 [0.975, 0.985]	0.753	0.910 [0.891, 0.922]	0.084 [0.072, 0.102]	0.241 [0.230, 0.244]
gdpx2	cosine	per_gene_population_zscore_dataset_cell_type	2064	86	2231.0	0.994 [0.992, 0.995]	0.371 [0.321, 0.428]	0.981 [0.975, 0.984]	0.753	0.820 [0.796, 0.842]	0.174 [0.153, 0.198]	0.241 [0.230, 0.244]
