unit	dataset_a	dataset_b	n	min_fold_difference	q25_fold_difference	median_fold_difference	q75_fold_difference	q90_fold_difference	q95_fold_difference	max_fold_difference
matched_sample_pair	l1000_phase1	l1000_phase2	50695	1.0	1.0	1.0	1.0810810810810811	1.6649999999999998	1.6649999999999998	10.0
matched_sample_pair	l1000_phase1	sciplex	2695	1.0	1.0	1.0	1.1100000143099997	1.2349999999999997	1.3000000268199996	10.0
matched_sample_pair	l1000_phase1	tahoe	610	1.2135922096598406	1.6	1.9999999999999996	1.9999999999999996	1.9999999999999996	1.9999999999999996	8.879999999999999
matched_sample_pair	l1000_phase2	sciplex	3192	1.0	1.0	1.1099999999999997	1.1999999999999993	1.1999999999999993	1.2345699999999997	1.2345699999999997
matched_sample_pair	l1000_phase2	tahoe	1473	1.2149989186509618	1.2499999999999993	1.3500013500013497	1.5000015000015001	1.5015015015015016	1.5015015015015016	2.4
matched_sample_pair	tahoe	sciplex	170	1.9999999999999996	1.9999999999999996	2.0000000000000004	2.0000000000000004	2.0000000000000004	2.0000000000000004	2.0000000000000004
unique_matched_condition	l1000_phase1	l1000_phase2	2836	1.0	1.0	1.0810810810810811	1.4999999999999998	1.6649999999999998	1.6649999999999998	10.0
unique_matched_condition	l1000_phase1	sciplex	291	1.0	1.0	1.0	1.1999999731799995	1.3000000268199996	1.9999999999999996	10.0
unique_matched_condition	l1000_phase1	tahoe	152	1.2135922096598406	1.6	1.9999999999999996	1.9999999999999996	1.9999999999999996	1.9999999999999996	8.879999999999999
unique_matched_condition	l1000_phase2	sciplex	381	1.0	1.0	1.1099999999999997	1.1999999999999993	1.2345699999999997	1.2345699999999997	1.2345699999999997
unique_matched_condition	l1000_phase2	tahoe	402	1.2149989186509618	1.2237491889882213	1.3500013500013497	1.5000015000015001	1.5000015000015001	1.5015015015015016	2.4
unique_matched_condition	tahoe	sciplex	69	1.9999999999999996	1.9999999999999996	2.0000000000000004	2.0000000000000004	2.0000000000000004	2.0000000000000004	2.0000000000000004
