dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope	cell_type
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.4776997132741828	0.43449319465347935	0.5183842698012705	0.041945537573895575	bca	ok	0.95	2000	2000	972	880	221	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.5170735926530414	0.4907976795058232	0.5441628004285285	0.026682560461352645	bca	ok	0.95	2000	2000	972	963	235	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.05258756424208581	-0.08520523844068835	-0.01866418711498479	0.03327052566285178	bca	ok	0.95	2000	2000	972	880	221	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9289449660352361	0.9133478806982155	0.9411531015117318	0.013902610406758165	bca	ok	0.95	2000	2000	972	755	191	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7524343339340409	0.7374469912933184	0.7667679844693132	0.014660496587997396	bca	ok	0.95	2000	2000	972	969	236	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.15181871437699737	0.13542203538376493	0.16882383680630556	0.01670090071127031	bca	ok	0.95	2000	2000	972	755	191	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.42845050364482606	0.36712485558962055	0.48813296564852177	0.06050405502945061	bca	ok	0.95	2000	2000	158	66	49	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.49442863420896416	0.4227123666543749	0.5445724185905191	0.060930025968072093	bca	ok	0.95	2000	2000	158	142	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.1743885803726946	-0.23237040246481924	-0.11691591018084335	0.057727246141987945	bca	ok	0.95	2000	2000	158	66	49	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	sciplex	dose_threshold_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.8990159313844172	0.8516647885722884	0.9335434440008692	0.040939327714290374	bca	ok	0.95	2000	2000	158	59	41	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
