dataset_a	dataset_b	metric	deg_definition	n_compounds	n_drug_line_times	observed	source_centroid	delta_vs_source_centroid	target_centroid	delta_vs_target_centroid	source_peer	delta_vs_source_peer	target_peer	delta_vs_target_peer	source_peer_fraction_below_observed	source_peer_corrected_percentile	target_peer_fraction_below_observed	target_peer_corrected_percentile	mean_peers_source
L1000 Phase I	L1000 Phase II	deg_lfc_spearman	p05	257	1060	0.372 [0.331, 0.413]	0.456 [0.433, 0.478]	-0.094 [-0.125, -0.063]	0.310 [0.286, 0.335]	0.050 [0.021, 0.079]	0.096 [0.086, 0.107]	0.267 [0.231, 0.301]	0.045 [0.036, 0.054]	0.318 [0.282, 0.352]	0.699 [0.673, 0.726]	0.702 [0.676, 0.730]	0.741 [0.715, 0.767]	0.744 [0.715, 0.768]	326.25656872053435
L1000 Phase I	sci-Plex	deg_lfc_spearman	p05	90	162	0.395 [0.331, 0.455]	0.475 [0.414, 0.523]	-0.188 [-0.247, -0.130]	0.261 [0.203, 0.309]	0.047 [-0.029, 0.118]	0.097 [0.078, 0.114]	0.240 [0.181, 0.301]	0.069 [0.055, 0.082]	0.312 [0.250, 0.370]	0.626 [0.586, 0.668]	0.629 [0.589, 0.671]	0.669 [0.615, 0.719]	0.670 [0.618, 0.718]	309.75377162878044
L1000 Phase I	Tahoe-100M	deg_lfc_spearman	p05	86	114	0.174 [0.069, 0.263]	0.362 [0.281, 0.432]	-0.250 [-0.378, -0.134]	-0.012 [-0.077, 0.050]	0.141 [0.016, 0.253]	0.081 [0.056, 0.109]	0.032 [-0.074, 0.126]	-0.001 [-0.019, 0.016]	0.153 [0.037, 0.243]	0.543 [0.480, 0.600]	0.546 [0.489, 0.604]	0.642 [0.580, 0.706]	0.643 [0.576, 0.703]	404.4122023809524
L1000 Phase II	sci-Plex	deg_lfc_spearman	p05	83	127	0.491 [0.423, 0.539]	0.395 [0.323, 0.444]	-0.107 [-0.161, -0.044]	0.229 [0.159, 0.290]	0.097 [0.042, 0.162]	0.038 [0.016, 0.059]	0.332 [0.276, 0.379]	0.048 [0.030, 0.064]	0.397 [0.340, 0.447]	0.623 [0.574, 0.670]	0.624 [0.574, 0.664]	0.650 [0.595, 0.696]	0.652 [0.603, 0.702]	290.36898779283143
L1000 Phase II	Tahoe-100M	deg_lfc_spearman	p05	110	134	0.084 [0.004, 0.165]	0.302 [0.232, 0.363]	-0.305 [-0.390, -0.215]	0.098 [0.038, 0.161]	0.018 [-0.088, 0.106]	0.006 [-0.024, 0.036]	-0.033 [-0.122, 0.051]	0.025 [0.006, 0.045]	0.070 [-0.009, 0.152]	0.576 [0.532, 0.619]	0.577 [0.531, 0.621]	0.581 [0.536, 0.622]	0.582 [0.541, 0.626]	419.7234503991034
Tahoe-100M	sci-Plex	deg_lfc_spearman	p05	23	23	0.124 [-0.059, 0.286]	0.599 [0.494, 0.679]	-0.465 [-0.688, -0.239]	0.085 [-0.054, 0.245]	0.013 [-0.243, 0.206]	0.260 [0.212, 0.315]	-0.143 [-0.346, 0.046]	0.039 [-0.006, 0.091]	0.089 [-0.112, 0.262]	0.396 [0.283, 0.521]	0.398 [0.280, 0.518]	0.587 [0.476, 0.688]	0.589 [0.488, 0.695]	278.4402173913043
L1000 Phase I	L1000 Phase II	direction_agreement	p05	257	1060	0.917 [0.902, 0.931]	0.724 [0.712, 0.737]	0.156 [0.140, 0.173]	0.641 [0.629, 0.652]	0.233 [0.218, 0.247]	0.570 [0.565, 0.576]	0.347 [0.333, 0.360]	0.544 [0.539, 0.550]	0.373 [0.361, 0.386]	0.927 [0.911, 0.941]	0.928 [0.912, 0.941]	0.939 [0.923, 0.952]	0.940 [0.924, 0.952]	326.25656872053435
L1000 Phase I	sci-Plex	direction_agreement	p05	90	162	0.890 [0.846, 0.923]	0.724 [0.695, 0.751]	0.131 [0.079, 0.178]	0.629 [0.604, 0.651]	0.223 [0.180, 0.262]	0.570 [0.561, 0.579]	0.320 [0.276, 0.355]	0.535 [0.529, 0.546]	0.355 [0.310, 0.388]	0.871 [0.808, 0.911]	0.872 [0.810, 0.913]	0.903 [0.844, 0.938]	0.903 [0.840, 0.940]	309.75377162878044
L1000 Phase I	Tahoe-100M	direction_agreement	p05	86	114	0.736 [0.607, 0.828]	0.731 [0.692, 0.763]	-0.018 [-0.155, 0.081]	0.495 [0.462, 0.529]	0.226 [0.091, 0.326]	0.588 [0.573, 0.600]	0.148 [0.007, 0.246]	0.508 [0.503, 0.514]	0.228 [0.106, 0.326]	0.742 [0.589, 0.852]	0.742 [0.593, 0.853]	0.811 [0.652, 0.911]	0.811 [0.648, 0.915]	404.4122023809524
L1000 Phase II	sci-Plex	direction_agreement	p05	83	127	0.949 [0.914, 0.968]	0.683 [0.650, 0.710]	0.186 [0.152, 0.225]	0.587 [0.554, 0.613]	0.270 [0.238, 0.297]	0.574 [0.566, 0.583]	0.376 [0.343, 0.397]	0.545 [0.539, 0.552]	0.404 [0.371, 0.423]	0.912 [0.857, 0.942]	0.912 [0.863, 0.941]	0.930 [0.887, 0.959]	0.930 [0.886, 0.959]	290.36898779283143
L1000 Phase II	Tahoe-100M	direction_agreement	p05	110	134	0.675 [0.569, 0.766]	0.686 [0.655, 0.710]	-0.093 [-0.198, 0.002]	0.529 [0.503, 0.555]	0.167 [0.037, 0.257]	0.592 [0.577, 0.605]	0.083 [-0.023, 0.172]	0.502 [0.493, 0.509]	0.173 [0.062, 0.260]	0.637 [0.510, 0.744]	0.638 [0.517, 0.755]	0.717 [0.585, 0.827]	0.718 [0.594, 0.825]	419.7234503991034
Tahoe-100M	sci-Plex	direction_agreement	p05	23	23	0.896 [0.835, 0.950]	0.832 [0.789, 0.877]	0.083 [0.004, 0.132]	0.579 [0.521, 0.627]	0.343 [0.281, 0.411]	0.608 [0.589, 0.629]	0.288 [0.208, 0.344]	0.517 [0.500, 0.537]	0.379 [0.316, 0.422]	0.917 [0.779, 0.989]	0.917 [0.779, 0.989]	0.957 [0.789, 0.999]	0.957 [0.760, 0.999]	278.4402173913043
