dataset_a	dataset_b	metric	deg_definition	n_compounds	n_drug_line_times	observed	source_centroid	delta_vs_source_centroid	target_centroid	delta_vs_target_centroid	source_peer	delta_vs_source_peer	target_peer	delta_vs_target_peer	source_peer_fraction_below_observed	source_peer_corrected_percentile	target_peer_fraction_below_observed	target_peer_corrected_percentile	mean_peers_source	scale_variant
L1000 Phase I	L1000 Phase II	deg_lfc_spearman	p05	257	1060	0.372 [0.331, 0.413]	0.456 [0.433, 0.478]	-0.094 [-0.125, -0.063]	0.310 [0.286, 0.335]	0.050 [0.021, 0.079]	0.096 [0.086, 0.107]	0.267 [0.231, 0.301]	0.045 [0.036, 0.054]	0.318 [0.282, 0.352]	0.699 [0.673, 0.726]	0.702 [0.676, 0.730]	0.741 [0.715, 0.767]	0.744 [0.715, 0.768]	326.25656872053435	raw_logfc
L1000 Phase I	sci-Plex	deg_lfc_spearman	p05	90	162	0.395 [0.331, 0.455]	0.475 [0.414, 0.523]	-0.188 [-0.247, -0.130]	0.261 [0.203, 0.309]	0.047 [-0.029, 0.118]	0.097 [0.078, 0.114]	0.240 [0.181, 0.301]	0.069 [0.055, 0.082]	0.312 [0.250, 0.370]	0.626 [0.586, 0.668]	0.629 [0.589, 0.671]	0.669 [0.615, 0.719]	0.670 [0.618, 0.718]	309.75377162878044	raw_logfc
L1000 Phase I	Tahoe-100M	deg_lfc_spearman	p05	86	114	0.174 [0.069, 0.263]	0.362 [0.281, 0.432]	-0.250 [-0.378, -0.134]	-0.012 [-0.077, 0.050]	0.141 [0.016, 0.253]	0.081 [0.056, 0.109]	0.032 [-0.074, 0.126]	-0.001 [-0.019, 0.016]	0.153 [0.037, 0.243]	0.543 [0.480, 0.600]	0.546 [0.489, 0.604]	0.642 [0.580, 0.706]	0.643 [0.576, 0.703]	404.4122023809524	raw_logfc
L1000 Phase II	sci-Plex	deg_lfc_spearman	p05	83	127	0.491 [0.423, 0.539]	0.395 [0.323, 0.444]	-0.107 [-0.161, -0.044]	0.229 [0.159, 0.290]	0.097 [0.042, 0.162]	0.038 [0.016, 0.059]	0.332 [0.276, 0.379]	0.048 [0.030, 0.064]	0.397 [0.340, 0.447]	0.623 [0.574, 0.670]	0.624 [0.574, 0.664]	0.650 [0.595, 0.696]	0.652 [0.603, 0.702]	290.36898779283143	raw_logfc
L1000 Phase II	Tahoe-100M	deg_lfc_spearman	p05	110	134	0.084 [0.004, 0.165]	0.302 [0.232, 0.363]	-0.305 [-0.390, -0.215]	0.098 [0.038, 0.161]	0.018 [-0.088, 0.106]	0.006 [-0.024, 0.036]	-0.033 [-0.122, 0.051]	0.025 [0.006, 0.045]	0.070 [-0.009, 0.152]	0.576 [0.532, 0.619]	0.577 [0.531, 0.621]	0.581 [0.536, 0.622]	0.582 [0.541, 0.626]	419.7234503991034	raw_logfc
Tahoe-100M	sci-Plex	deg_lfc_spearman	p05	23	23	0.124 [-0.059, 0.286]	0.599 [0.494, 0.679]	-0.465 [-0.688, -0.239]	0.085 [-0.054, 0.245]	0.013 [-0.243, 0.206]	0.260 [0.212, 0.315]	-0.143 [-0.346, 0.046]	0.039 [-0.006, 0.091]	0.089 [-0.112, 0.262]	0.396 [0.283, 0.521]	0.398 [0.280, 0.518]	0.587 [0.476, 0.688]	0.589 [0.488, 0.695]	278.4402173913043	raw_logfc
L1000 Phase I	L1000 Phase II	deg_lfc_spearman	p05	257	1060	0.331 [0.293, 0.370]	0.238 [0.211, 0.260]	0.071 [0.033, 0.103]	0.158 [0.137, 0.177]	0.149 [0.115, 0.183]	-0.002 [-0.009, 0.003]	0.329 [0.292, 0.363]	-0.022 [-0.026, -0.017]	0.346 [0.309, 0.384]	0.724 [0.696, 0.749]	0.726 [0.702, 0.752]	0.745 [0.720, 0.771]	0.747 [0.723, 0.774]	326.25656872053435	per_gene_population_zscore
L1000 Phase I	sci-Plex	deg_lfc_spearman	p05	90	162	0.306 [0.234, 0.374]	0.297 [0.239, 0.344]	-0.058 [-0.141, 0.014]	0.162 [0.113, 0.205]	0.093 [0.011, 0.171]	-0.001 [-0.011, 0.007]	0.298 [0.229, 0.368]	0.010 [0.005, 0.016]	0.297 [0.221, 0.368]	0.639 [0.595, 0.683]	0.642 [0.595, 0.686]	0.650 [0.593, 0.699]	0.652 [0.596, 0.701]	309.75377162878044	per_gene_population_zscore
L1000 Phase I	Tahoe-100M	deg_lfc_spearman	p05	86	114	0.118 [0.011, 0.216]	0.232 [0.154, 0.301]	-0.145 [-0.300, -0.019]	0.034 [-0.044, 0.116]	0.097 [-0.038, 0.209]	-0.005 [-0.017, 0.006]	0.120 [0.002, 0.221]	0.007 [-0.003, 0.016]	0.113 [-0.000, 0.217]	0.609 [0.551, 0.670]	0.611 [0.549, 0.670]	0.604 [0.538, 0.669]	0.605 [0.538, 0.666]	404.4122023809524	per_gene_population_zscore
L1000 Phase II	sci-Plex	deg_lfc_spearman	p05	83	127	0.389 [0.304, 0.453]	0.072 [0.004, 0.132]	0.086 [-0.026, 0.188]	0.054 [-0.006, 0.110]	0.182 [0.082, 0.271]	-0.041 [-0.053, -0.030]	0.398 [0.313, 0.466]	-0.004 [-0.012, 0.003]	0.389 [0.304, 0.453]	0.674 [0.626, 0.721]	0.675 [0.625, 0.716]	0.673 [0.622, 0.722]	0.674 [0.622, 0.721]	290.36898779283143	per_gene_population_zscore
