dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope	cell_type
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_observed_spearman_logfc	mean_pb_observed_spearman_logfc	0.2392470558544246	0.21328606916032158	0.27224155484353424	0.029477742841606328	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_source_centroid_spearman_logfc_pair	mean_pb_source_centroid_spearman_logfc_pair	0.28768904352067903	0.2695382970292112	0.3074038440255365	0.018932773498162636	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_delta_vs_source_centroid_spearman_logfc	mean_pb_delta_vs_source_centroid_spearman_logfc	-0.04844198766625441	-0.06725610921288633	-0.02812759182960029	0.019564258691643018	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_target_centroid_spearman_logfc_pair	mean_pb_target_centroid_spearman_logfc_pair	0.16393422517399056	0.14644755737167425	0.1845691393071916	0.019060790967758673	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_delta_vs_target_centroid_spearman_logfc	mean_pb_delta_vs_target_centroid_spearman_logfc	0.07531283068043405	0.05969208655229591	0.09321850012713723	0.01676320678742066	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair	mean_pb_source_peer_spearman_logfc_pair	0.0955718289228369	0.08979242907081811	0.10127347876417483	0.005740524846678363	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_delta_vs_source_peer_spearman_logfc	mean_pb_delta_vs_source_peer_spearman_logfc	0.14367522693158769	0.11867354616690706	0.17145607993974027	0.026391266886416603	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_sd_score	mean_pb_source_peer_spearman_logfc_pair_sd_score	0.15388754506788008	0.15024466352839044	0.15832342922992376	0.00403938285076666	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_source_peer_spearman_logfc_pair_fraction_below_observed	0.6726822293290609	0.6459449022152852	0.6985077399750704	0.026281418879892604	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_corrected_percentile	mean_pb_source_peer_spearman_logfc_pair_corrected_percentile	0.6762933586015049	0.6502233070658783	0.703288546492965	0.02653261971354337	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair	mean_pb_target_peer_spearman_logfc_pair	0.04612649569870876	0.040876501204873544	0.051353153298735334	0.005238326046930895	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_delta_vs_target_peer_spearman_logfc	mean_pb_delta_vs_target_peer_spearman_logfc	0.19312056015571585	0.16948950332959878	0.22428619773305242	0.02739834720172682	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_sd_score	mean_pb_target_peer_spearman_logfc_pair_sd_score	0.1260511193444146	0.12227518351619275	0.1301846844442503	0.003954750464028774	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_target_peer_spearman_logfc_pair_fraction_below_observed	0.7661290003084843	0.7426124940574346	0.7902848202829105	0.02383616311273795	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	l1000_phase2	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_corrected_percentile	mean_pb_target_peer_spearman_logfc_pair_corrected_percentile	0.7678590199107725	0.745296864327043	0.7908337461643974	0.02276844091867719	bca	ok	0.95	2000	2000	1060	1060	257	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_observed_spearman_logfc	mean_pb_observed_spearman_logfc	0.09469713545828057	0.07201629325186454	0.12392507728097474	0.0259543920145551	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_source_centroid_spearman_logfc_pair	mean_pb_source_centroid_spearman_logfc_pair	0.2637922740662161	0.23847089540239894	0.28860156801039727	0.025065336303999167	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_delta_vs_source_centroid_spearman_logfc	mean_pb_delta_vs_source_centroid_spearman_logfc	-0.16909513860793554	-0.1889882610480208	-0.14649727098414017	0.021245495031940315	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_target_centroid_spearman_logfc_pair	mean_pb_target_centroid_spearman_logfc_pair	0.08488657615971441	0.07056784629932376	0.09961012528622233	0.014521139493449284	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_delta_vs_target_centroid_spearman_logfc	mean_pb_delta_vs_target_centroid_spearman_logfc	0.009810559298566172	-0.004974846975914028	0.028826339978588373	0.016900593477251202	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair	mean_pb_source_peer_spearman_logfc_pair	0.07028627806924485	0.0646629258649204	0.07592830867617709	0.005632691405628346	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_delta_vs_source_peer_spearman_logfc	mean_pb_delta_vs_source_peer_spearman_logfc	0.02441085738903573	0.0036086104021431113	0.0508852106052137	0.023638300101535295	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_sd_score	mean_pb_source_peer_spearman_logfc_pair_sd_score	0.12220370177938669	0.11658768100426825	0.1289149574728312	0.006163638234281468	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_source_peer_spearman_logfc_pair_fraction_below_observed	0.5145952589344269	0.4728521283291644	0.5554998026072397	0.04132383713903767	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_corrected_percentile	mean_pb_source_peer_spearman_logfc_pair_corrected_percentile	0.5176811118191885	0.48023015373029093	0.5631959142165355	0.04148288024312227	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair	mean_pb_target_peer_spearman_logfc_pair	0.020892253687701926	0.01779723630411392	0.024077935305092158	0.0031403495004891195	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_delta_vs_target_peer_spearman_logfc	mean_pb_delta_vs_target_peer_spearman_logfc	0.07380488177057867	0.052803009015365734	0.10177682725371179	0.024486909119173027	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_sd_score	mean_pb_target_peer_spearman_logfc_pair_sd_score	0.050455746965838995	0.04768355597492808	0.0540258350495844	0.003171139537328161	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_target_peer_spearman_logfc_pair_fraction_below_observed	0.6724207124410668	0.6216244756316824	0.7189497673215373	0.04866264584492741	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	sciplex	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_corrected_percentile	mean_pb_target_peer_spearman_logfc_pair_corrected_percentile	0.6741154926824314	0.6265523735890867	0.7235266004949183	0.04848711345291584	bca	ok	0.95	2000	2000	162	162	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_observed_spearman_logfc	mean_pb_observed_spearman_logfc	0.037680684116775776	0.01963941197619989	0.06382726659131296	0.022093927307556535	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_source_centroid_spearman_logfc_pair	mean_pb_source_centroid_spearman_logfc_pair	0.2742542043075995	0.25266420563134334	0.29782824165171534	0.022582018010186	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_delta_vs_source_centroid_spearman_logfc	mean_pb_delta_vs_source_centroid_spearman_logfc	-0.2365735201908237	-0.2600301908335985	-0.21092428548950748	0.02455295267204552	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
