dataset_a	dataset_b	cell_type	pubchem_cid	time_key	left_obs_id	right_obs_id	left_plate	right_plate	left_well	right_well	left_dose_key	right_dose_key	left_log10_dose	right_log10_dose	abs_delta_log10_dose	matched_condition_key	n_context_matching_drugs	error
l1000_phase1	sciplex	CVCL_0023	11442891	24	CPC013_A549_24H_X1_F1B6_DUO52HI53LO_E19_danusertib_CVCL_0023	plate34_plate4_A9_Danusertib_CVCL_0023	CPC013_A549_24H_X1_F1B6_DUO52HI53LO	plate34	E19	plate4_A9	10	10	1.0	1.0	0.0	11442891|CVCL_0023|24|10|10	75	"""Could not resolve obs_id='plate34_plate4_A9_Danusertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate34_plate4_A9_Danusertib_CVCL_0023', '11442891|10|24|CVCL_0023']. Available lookup keys: 2,742"""
l1000_phase1	sciplex	CVCL_0023	11442891	24	CPC013_A549_24H_X1_F1B6_DUO52HI53LO_E19_danusertib_CVCL_0023	plate9_plate3_A3_Danusertib_CVCL_0023	CPC013_A549_24H_X1_F1B6_DUO52HI53LO	plate9	E19	plate3_A3	10	10	1.0	1.0	0.0	11442891|CVCL_0023|24|10|10	75	"""Could not resolve obs_id='plate9_plate3_A3_Danusertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate9_plate3_A3_Danusertib_CVCL_0023', '11442891|10|24|CVCL_0023']. Available lookup keys: 2,742"""
l1000_phase1	sciplex	CVCL_0023	11442891	24	CPC013_A549_24H_X2_F1B6_DUO52HI53LO_E19_danusertib_CVCL_0023	plate34_plate4_A9_Danusertib_CVCL_0023	CPC013_A549_24H_X2_F1B6_DUO52HI53LO	plate34	E19	plate4_A9	10	10	1.0	1.0	0.0	11442891|CVCL_0023|24|10|10	75	"""Could not resolve obs_id='plate34_plate4_A9_Danusertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate34_plate4_A9_Danusertib_CVCL_0023', '11442891|10|24|CVCL_0023']. Available lookup keys: 2,742"""
l1000_phase1	sciplex	CVCL_0023	11442891	24	CPC013_A549_24H_X2_F1B6_DUO52HI53LO_E19_danusertib_CVCL_0023	plate9_plate3_A3_Danusertib_CVCL_0023	CPC013_A549_24H_X2_F1B6_DUO52HI53LO	plate9	E19	plate3_A3	10	10	1.0	1.0	0.0	11442891|CVCL_0023|24|10|10	75	"""Could not resolve obs_id='plate9_plate3_A3_Danusertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate9_plate3_A3_Danusertib_CVCL_0023', '11442891|10|24|CVCL_0023']. Available lookup keys: 2,742"""
l1000_phase1	sciplex	CVCL_0023	11442891	24	CPC013_A549_24H_X3_F1B6_DUO52HI53LO_E19_danusertib_CVCL_0023	plate34_plate4_A9_Danusertib_CVCL_0023	CPC013_A549_24H_X3_F1B6_DUO52HI53LO	plate34	E19	plate4_A9	10	10	1.0	1.0	0.0	11442891|CVCL_0023|24|10|10	75	"""Could not resolve obs_id='plate34_plate4_A9_Danusertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate34_plate4_A9_Danusertib_CVCL_0023', '11442891|10|24|CVCL_0023']. Available lookup keys: 2,742"""
l1000_phase1	sciplex	CVCL_0023	11442891	24	CPC013_A549_24H_X3_F1B6_DUO52HI53LO_E19_danusertib_CVCL_0023	plate9_plate3_A3_Danusertib_CVCL_0023	CPC013_A549_24H_X3_F1B6_DUO52HI53LO	plate9	E19	plate3_A3	10	10	1.0	1.0	0.0	11442891|CVCL_0023|24|10|10	75	"""Could not resolve obs_id='plate9_plate3_A3_Danusertib_CVCL_0023' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0023_de.h5ad. Tried ['plate9_plate3_A3_Danusertib_CVCL_0023', '11442891|10|24|CVCL_0023']. Available lookup keys: 2,742"""
l1000_phase1	sciplex	CVCL_0031	2399	24	CPC005_MCF7_24H_X1_B4_DUO52HI53LO_B19_bisindolylmaleimide_CVCL_0031	plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031	CPC005_MCF7_24H_X1_B4_DUO52HI53LO	plate42	B19	plate4_D10	10	10	1.0	1.0	0.0	2399|CVCL_0031|24|10|10	90	"""Could not resolve obs_id='plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0031_de.h5ad. Tried ['plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031', '2399|10|24|CVCL_0031']. Available lookup keys: 2,220"""
l1000_phase1	sciplex	CVCL_0031	2399	24	CPC005_MCF7_24H_X2_B4_DUO52HI53LO_B19_bisindolylmaleimide_CVCL_0031	plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031	CPC005_MCF7_24H_X2_B4_DUO52HI53LO	plate42	B19	plate4_D10	10	10	1.0	1.0	0.0	2399|CVCL_0031|24|10|10	90	"""Could not resolve obs_id='plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0031_de.h5ad. Tried ['plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031', '2399|10|24|CVCL_0031']. Available lookup keys: 2,220"""
l1000_phase1	sciplex	CVCL_0031	2399	24	CPC005_MCF7_24H_X3_B4_DUO52HI53LO_B19_bisindolylmaleimide_CVCL_0031	plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031	CPC005_MCF7_24H_X3_B4_DUO52HI53LO	plate42	B19	plate4_D10	10	10	1.0	1.0	0.0	2399|CVCL_0031|24|10|10	90	"""Could not resolve obs_id='plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0031_de.h5ad. Tried ['plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031', '2399|10|24|CVCL_0031']. Available lookup keys: 2,220"""
l1000_phase1	sciplex	CVCL_0031	2399	24	CPC005_MCF7_24H_X4_B5_DUO52HI53LO_B19_bisindolylmaleimide_CVCL_0031	plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031	CPC005_MCF7_24H_X4_B5_DUO52HI53LO	plate42	B19	plate4_D10	10	10	1.0	1.0	0.0	2399|CVCL_0031|24|10|10	90	"""Could not resolve obs_id='plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031' in /home/cirro/Chem-PerturBridge_analysis/data/theislab_temp/sciplex/group_rep/CVCL_0031_de.h5ad. Tried ['plate42_plate4_D10_Bisindolylmaleimide_CVCL_0031', '2399|10|24|CVCL_0031']. Available lookup keys: 2,220"""
