dataset_a	dataset_b	metric	n_compounds	n_drug_line_times	observed	source_centroid	delta_vs_source_centroid	target_centroid	delta_vs_target_centroid	source_peer	delta_vs_source_peer	target_peer	delta_vs_target_peer	source_peer_fraction_below_observed	source_peer_corrected_percentile	target_peer_fraction_below_observed	target_peer_corrected_percentile	mean_peers_source	scale_variant
L1000 Phase I	L1000 Phase II	all_gene_spearman_logfc	257	1060	0.239 [0.213, 0.272]	0.288 [0.270, 0.307]	-0.048 [-0.067, -0.028]	0.164 [0.146, 0.185]	0.075 [0.060, 0.093]	0.096 [0.090, 0.101]	0.144 [0.119, 0.171]	0.046 [0.041, 0.051]	0.193 [0.169, 0.224]	0.673 [0.646, 0.699]	0.676 [0.650, 0.703]	0.766 [0.743, 0.790]	0.768 [0.745, 0.791]	326.25656872053435	raw_logfc
L1000 Phase I	sci-Plex	all_gene_spearman_logfc	90	162	0.095 [0.072, 0.124]	0.264 [0.238, 0.289]	-0.169 [-0.189, -0.146]	0.085 [0.071, 0.100]	0.010 [-0.005, 0.029]	0.070 [0.065, 0.076]	0.024 [0.004, 0.051]	0.021 [0.018, 0.024]	0.074 [0.053, 0.102]	0.515 [0.473, 0.555]	0.518 [0.480, 0.563]	0.672 [0.622, 0.719]	0.674 [0.627, 0.724]	309.75377162878044	raw_logfc
L1000 Phase I	Tahoe-100M	all_gene_spearman_logfc	86	114	0.038 [0.020, 0.064]	0.274 [0.253, 0.298]	-0.237 [-0.260, -0.211]	-0.017 [-0.025, -0.008]	0.054 [0.037, 0.076]	0.104 [0.098, 0.111]	-0.067 [-0.085, -0.044]	-0.003 [-0.005, -0.000]	0.041 [0.022, 0.066]	0.349 [0.311, 0.395]	0.351 [0.315, 0.401]	0.622 [0.559, 0.684]	0.623 [0.562, 0.684]	404.4122023809524	raw_logfc
L1000 Phase II	sci-Plex	all_gene_spearman_logfc	83	127	0.102 [0.079, 0.133]	0.204 [0.180, 0.228]	-0.102 [-0.121, -0.082]	0.078 [0.064, 0.095]	0.024 [0.009, 0.044]	0.056 [0.051, 0.060]	0.046 [0.025, 0.077]	0.018 [0.015, 0.022]	0.084 [0.061, 0.113]	0.558 [0.522, 0.601]	0.560 [0.524, 0.604]	0.699 [0.656, 0.738]	0.701 [0.661, 0.741]	290.36898779283143	raw_logfc
L1000 Phase II	Tahoe-100M	all_gene_spearman_logfc	110	134	0.027 [0.017, 0.043]	0.276 [0.259, 0.292]	-0.249 [-0.266, -0.234]	0.011 [0.005, 0.017]	0.016 [0.004, 0.030]	0.116 [0.112, 0.121]	-0.089 [-0.101, -0.073]	-0.001 [-0.003, 0.000]	0.028 [0.018, 0.045]	0.286 [0.259, 0.318]	0.288 [0.263, 0.324]	0.595 [0.558, 0.635]	0.596 [0.562, 0.638]	419.7234503991034	raw_logfc
Tahoe-100M	sci-Plex	all_gene_spearman_logfc	23	23	0.053 [0.024, 0.119]	0.338 [0.314, 0.357]	-0.286 [-0.317, -0.227]	0.016 [0.003, 0.032]	0.036 [0.013, 0.087]	0.134 [0.125, 0.142]	-0.082 [-0.111, -0.012]	0.003 [-0.002, 0.008]	0.050 [0.022, 0.112]	0.324 [0.262, 0.427]	0.327 [0.264, 0.437]	0.671 [0.603, 0.754]	0.672 [0.603, 0.756]	278.4402173913043	raw_logfc
L1000 Phase I	L1000 Phase II	all_gene_spearman_logfc	257	1060	0.231 [0.207, 0.261]	0.151 [0.131, 0.172]	0.080 [0.061, 0.103]	0.088 [0.073, 0.104]	0.143 [0.126, 0.164]	0.043 [0.039, 0.047]	0.188 [0.161, 0.219]	0.016 [0.014, 0.019]	0.215 [0.191, 0.244]	0.725 [0.700, 0.747]	0.728 [0.704, 0.750]	0.782 [0.758, 0.803]	0.784 [0.762, 0.808]	326.25656872053435	per_gene_population_zscore
L1000 Phase I	sci-Plex	all_gene_spearman_logfc	90	162	0.085 [0.063, 0.116]	0.127 [0.100, 0.154]	-0.043 [-0.065, -0.019]	0.034 [0.021, 0.048]	0.051 [0.036, 0.071]	0.022 [0.018, 0.027]	0.062 [0.040, 0.094]	0.002 [0.001, 0.003]	0.082 [0.060, 0.113]	0.625 [0.595, 0.658]	0.628 [0.598, 0.662]	0.701 [0.651, 0.743]	0.702 [0.654, 0.746]	309.75377162878044	per_gene_population_zscore
L1000 Phase I	Tahoe-100M	all_gene_spearman_logfc	86	114	0.049 [0.027, 0.076]	0.112 [0.093, 0.130]	-0.063 [-0.087, -0.032]	-0.002 [-0.009, 0.004]	0.051 [0.031, 0.079]	0.023 [0.019, 0.027]	0.026 [0.004, 0.055]	-0.000 [-0.001, 0.001]	0.049 [0.027, 0.076]	0.552 [0.508, 0.597]	0.554 [0.514, 0.603]	0.628 [0.562, 0.687]	0.629 [0.566, 0.687]	404.4122023809524	per_gene_population_zscore
L1000 Phase II	sci-Plex	all_gene_spearman_logfc	83	127	0.098 [0.077, 0.130]	0.072 [0.057, 0.088]	0.027 [0.006, 0.056]	0.027 [0.018, 0.037]	0.071 [0.052, 0.098]	0.014 [0.011, 0.016]	0.084 [0.061, 0.118]	0.003 [0.001, 0.004]	0.096 [0.073, 0.127]	0.665 [0.637, 0.696]	0.666 [0.639, 0.698]	0.738 [0.703, 0.772]	0.739 [0.703, 0.774]	290.36898779283143	per_gene_population_zscore
L1000 Phase II	Tahoe-100M	all_gene_spearman_logfc	110	134	0.033 [0.021, 0.050]	0.099 [0.083, 0.113]	-0.065 [-0.086, -0.037]	-0.001 [-0.005, 0.005]	0.034 [0.021, 0.049]	0.024 [0.019, 0.028]	0.009 [-0.006, 0.028]	-0.001 [-0.002, 0.001]	0.034 [0.021, 0.051]	0.495 [0.466, 0.531]	0.496 [0.466, 0.529]	0.596 [0.560, 0.633]	0.597 [0.560, 0.635]	419.7234503991034	per_gene_population_zscore
Tahoe-100M	sci-Plex	all_gene_spearman_logfc	23	23	0.057 [0.025, 0.126]	0.104 [0.089, 0.123]	-0.048 [-0.084, 0.031]	0.003 [-0.005, 0.013]	0.053 [0.021, 0.130]	0.017 [0.011, 0.021]	0.040 [0.009, 0.107]	0.000 [-0.002, 0.002]	0.057 [0.024, 0.122]	0.614 [0.565, 0.684]	0.616 [0.566, 0.684]	0.654 [0.579, 0.739]	0.656 [0.579, 0.743]	278.4402173913043	per_gene_population_zscore
